stringId_A	stringId_B	preferredName_A	preferredName_B	ncbiTaxonId	score	nscore	fscore	pscore	ascore	escore	dscore	tscore
9606.ENSP00000188790	9606.ENSP00000361965	FAP	ADA	9606	0.891	0	0	0	0.067	0.292	0	0.849
9606.ENSP00000188790	9606.ENSP00000387662	FAP	GCG	9606	0.747	0	0.251	0	0.067	0	0	0.668
9606.ENSP00000188790	9606.ENSP00000346839	FAP	FN1	9606	0.705	0	0	0	0.208	0	0	0.643
9606.ENSP00000188790	9606.ENSP00000380432	FAP	INS	9606	0.682	0	0	0	0.103	0	0	0.66
9606.ENSP00000188790	9606.ENSP00000360635	FAP	DPP7	9606	0.679	0	0	0	0	0	0	0.679
9606.ENSP00000188790	9606.ENSP00000499089	FAP	PREP	9606	0.663	0	0	0	0	0.062	0	0.655
9606.ENSP00000188790	9606.ENSP00000369071	FAP	POSTN	9606	0.652	0	0	0	0.499	0	0	0.334
9606.ENSP00000188790	9606.ENSP00000284240	FAP	THY1	9606	0.641	0	0	0	0.224	0.292	0	0.399
9606.ENSP00000188790	9606.ENSP00000362353	FAP	GLP1R	9606	0.619	0	0	0	0	0	0	0.619
9606.ENSP00000188790	9606.ENSP00000364000	FAP	COL5A2	9606	0.606	0	0	0	0.363	0	0	0.408
9606.ENSP00000188790	9606.ENSP00000361850	FAP	PLAU	9606	0.601	0	0	0	0.098	0	0	0.576
9606.ENSP00000188790	9606.ENSP00000411355	FAP	PTPRC	9606	0.593	0	0	0	0.061	0	0	0.584
9606.ENSP00000188790	9606.ENSP00000353198	FAP	PYY	9606	0.589	0	0	0	0.06	0.067	0	0.569
9606.ENSP00000188790	9606.ENSP00000225964	FAP	COL1A1	9606	0.573	0	0	0	0.461	0	0	0.241
9606.ENSP00000188790	9606.ENSP00000379140	FAP	CXCL12	9606	0.54	0	0	0	0.127	0	0	0.495
9606.ENSP00000188790	9606.ENSP00000378517	FAP	SPP1	9606	0.534	0	0	0	0.064	0	0	0.523
9606.ENSP00000188790	9606.ENSP00000359114	FAP	COL11A1	9606	0.525	0	0	0	0.208	0	0	0.425
9606.ENSP00000188790	9606.ENSP00000352455	FAP	MFAP5	9606	0.524	0	0	0	0.152	0	0	0.462
9606.ENSP00000188790	9606.ENSP00000219070	FAP	MMP2	9606	0.523	0	0	0	0.332	0	0	0.315
9606.ENSP00000188790	9606.ENSP00000379350	FAP	ITGB1	9606	0.522	0	0	0	0.072	0	0	0.507
9606.ENSP00000188790	9606.ENSP00000261799	FAP	PDGFRB	9606	0.522	0	0	0	0.225	0	0	0.408
9606.ENSP00000188790	9606.ENSP00000350005	FAP	GIP	9606	0.514	0	0	0	0	0	0	0.514
9606.ENSP00000188790	9606.ENSP00000385675	FAP	IL6	9606	0.513	0	0	0	0.084	0	0	0.491
9606.ENSP00000188790	9606.ENSP00000266718	FAP	LUM	9606	0.505	0	0	0	0.421	0	0	0.179
9606.ENSP00000188790	9606.ENSP00000226730	FAP	IL2	9606	0.504	0	0	0	0	0	0	0.504
9606.ENSP00000188790	9606.ENSP00000260128	FAP	SULF1	9606	0.495	0	0	0	0.489	0	0	0.052
9606.ENSP00000188790	9606.ENSP00000339191	FAP	CAV1	9606	0.489	0	0	0	0.124	0.292	0	0.242
9606.ENSP00000188790	9606.ENSP00000355751	FAP	THBS2	9606	0.484	0	0	0	0.338	0.073	0	0.227
9606.ENSP00000188790	9606.ENSP00000357704	FAP	S100A4	9606	0.484	0	0	0	0.055	0.062	0	0.464
9606.ENSP00000188790	9606.ENSP00000335074	FAP	GHRL	9606	0.48	0	0	0	0.067	0	0	0.465
9606.ENSP00000188790	9606.ENSP00000447378	FAP	MGAM	9606	0.48	0	0	0	0	0	0	0.48
9606.ENSP00000188790	9606.ENSP00000264382	FAP	SI	9606	0.479	0	0	0	0	0	0	0.479
9606.ENSP00000188790	9606.ENSP00000339208	FAP	DPP8	9606	0.478	0	0	0.202	0.063	0	0	0.357
9606.ENSP00000188790	9606.ENSP00000413707	FAP	LRRC15	9606	0.477	0	0	0	0.223	0	0	0.355
9606.ENSP00000188790	9606.ENSP00000294489	FAP	PDPN	9606	0.476	0	0	0	0.098	0	0	0.443
9606.ENSP00000188790	9606.ENSP00000231004	FAP	LOX	9606	0.474	0	0	0	0.24	0.073	0	0.313
9606.ENSP00000188790	9606.ENSP00000339328	FAP	PLAUR	9606	0.463	0	0	0	0.075	0.322	0	0.213
9606.ENSP00000188790	9606.ENSP00000262960	FAP	DPP9	9606	0.455	0	0	0.181	0.063	0	0	0.346
9606.ENSP00000188790	9606.ENSP00000304408	FAP	COL3A1	9606	0.452	0	0	0	0.401	0	0	0.121
9606.ENSP00000188790	9606.ENSP00000271651	FAP	CTSK	9606	0.45	0	0	0	0.349	0	0	0.191
9606.ENSP00000188790	9606.ENSP00000297268	FAP	COL1A2	9606	0.446	0	0	0	0.363	0	0	0.165
9606.ENSP00000188790	9606.ENSP00000052754	FAP	DCN	9606	0.445	0	0	0	0.338	0	0	0.196
9606.ENSP00000188790	9606.ENSP00000290866	FAP	ACE	9606	0.439	0	0	0	0.042	0	0	0.438
9606.ENSP00000188790	9606.ENSP00000268603	FAP	CDH11	9606	0.432	0	0	0	0.267	0	0	0.257
9606.ENSP00000188790	9606.ENSP00000349437	FAP	IGF2R	9606	0.43	0	0	0	0	0	0	0.43
9606.ENSP00000188790	9606.ENSP00000481450	FAP	AMY2A	9606	0.429	0	0	0	0.055	0	0	0.421
9606.ENSP00000188790	9606.ENSP00000276431	FAP	TNFRSF10B	9606	0.424	0	0	0	0	0	0	0.424
9606.ENSP00000188790	9606.ENSP00000257290	FAP	PDGFRA	9606	0.423	0	0	0	0.152	0	0	0.348
9606.ENSP00000188790	9606.ENSP00000354610	FAP	AMY2B	9606	0.423	0	0	0	0.055	0	0	0.414
9606.ENSP00000188790	9606.ENSP00000489829	FAP	CACNA1A	9606	0.422	0	0	0	0	0	0	0.423
9606.ENSP00000188790	9606.ENSP00000353731	FAP	DPP4	9606	0.411	0	0	0.065	0.072	0.292	0	0.154
9606.ENSP00000188790	9606.ENSP00000330484	FAP	AMY1B	9606	0.411	0	0	0	0.055	0	0	0.403
9606.ENSP00000188790	9606.ENSP00000440502	FAP	DPP3	9606	0.409	0	0	0	0	0	0	0.409
9606.ENSP00000188790	9606.ENSP00000312652	FAP	LEP	9606	0.405	0	0	0	0	0	0	0.405
9606.ENSP00000216241	9606.ENSP00000340688	CHADL	ADGRL1	9606	0.52	0	0	0	0.044	0.514	0	0.05
9606.ENSP00000216241	9606.ENSP00000422533	CHADL	ADGRL3	9606	0.518	0	0	0	0	0.514	0	0.05
9606.ENSP00000216241	9606.ENSP00000359765	CHADL	ADGRL2	9606	0.518	0	0	0	0	0.514	0	0.05
9606.ENSP00000216241	9606.ENSP00000309132	CHADL	BCL2L14	9606	0.427	0	0	0	0	0	0	0.427
9606.ENSP00000216241	9606.ENSP00000439937	CHADL	HOMER3	9606	0.423	0	0	0	0.067	0	0	0.406
9606.ENSP00000216241	9606.ENSP00000316881	CHADL	P3H2	9606	0.42	0	0	0	0.058	0	0	0.409
9606.ENSP00000216241	9606.ENSP00000052754	CHADL	DCN	9606	0.413	0	0	0.179	0.048	0	0	0.309
9606.ENSP00000216241	9606.ENSP00000216237	CHADL	L3MBTL2	9606	0.401	0	0.041	0	0.047	0	0	0.397
9606.ENSP00000226004	9606.ENSP00000469880	DUSP3	VRK3	9606	0.979	0	0	0	0.042	0.095	0.9	0.795
9606.ENSP00000226004	9606.ENSP00000215832	DUSP3	MAPK1	9606	0.979	0	0	0	0.078	0.613	0.9	0.502
9606.ENSP00000226004	9606.ENSP00000263025	DUSP3	MAPK3	9606	0.973	0	0	0	0.083	0.613	0.9	0.341
9606.ENSP00000226004	9606.ENSP00000309116	DUSP3	PTPN7	9606	0.964	0	0	0	0.055	0.071	0.9	0.64
9606.ENSP00000226004	9606.ENSP00000229795	DUSP3	MAPK14	9606	0.936	0	0	0	0.083	0.243	0.9	0.19
9606.ENSP00000226004	9606.ENSP00000378974	DUSP3	MAPK8	9606	0.935	0	0	0	0.072	0.13	0.9	0.294
9606.ENSP00000226004	9606.ENSP00000283228	DUSP3	PTPRR	9606	0.934	0	0	0	0	0.071	0.9	0.355
9606.ENSP00000226004	9606.ENSP00000215659	DUSP3	MAPK12	9606	0.93	0	0	0	0.067	0.243	0.9	0.125
9606.ENSP00000226004	9606.ENSP00000394560	DUSP3	MAPK9	9606	0.929	0	0	0	0.088	0.13	0.9	0.217
9606.ENSP00000226004	9606.ENSP00000333685	DUSP3	MAPK11	9606	0.928	0	0	0	0.06	0.243	0.9	0.117
9606.ENSP00000226004	9606.ENSP00000211287	DUSP3	MAPK13	9606	0.927	0	0	0	0.06	0.243	0.9	0.107
9606.ENSP00000226004	9606.ENSP00000351342	DUSP3	PTPN5	9606	0.923	0	0	0	0	0.071	0.9	0.243
9606.ENSP00000226004	9606.ENSP00000280362	DUSP3	PTS	9606	0.711	0	0	0	0	0	0	0.711
9606.ENSP00000226004	9606.ENSP00000360683	DUSP3	PTPN1	9606	0.699	0	0	0	0.08	0.071	0	0.676
9606.ENSP00000226004	9606.ENSP00000357087	DUSP3	DUSP23	9606	0.674	0	0	0	0.047	0.046	0	0.67
9606.ENSP00000226004	9606.ENSP00000410964	DUSP3	ERLIN1	9606	0.656	0	0	0	0.097	0.629	0	0.056
9606.ENSP00000226004	9606.ENSP00000356489	DUSP3	EPM2A	9606	0.647	0	0	0	0	0	0	0.647
9606.ENSP00000226004	9606.ENSP00000428112	DUSP3	ERLIN2	9606	0.633	0	0	0	0.11	0.602	0	0.047
9606.ENSP00000226004	9606.ENSP00000369756	DUSP3	PTPRA	9606	0.63	0	0	0	0.049	0.071	0	0.615
9606.ENSP00000226004	9606.ENSP00000311857	DUSP3	PTPN2	9606	0.605	0	0	0	0.064	0.071	0	0.582
9606.ENSP00000226004	9606.ENSP00000264972	DUSP3	ZAP70	9606	0.599	0	0	0	0.046	0.092	0	0.574
9606.ENSP00000226004	9606.ENSP00000311005	DUSP3	MAPK7	9606	0.598	0	0	0	0.06	0.243	0.4	0.17
9606.ENSP00000226004	9606.ENSP00000408002	DUSP3	VRK2	9606	0.561	0	0	0	0.042	0	0	0.561
9606.ENSP00000226004	9606.ENSP00000272067	DUSP3	ACP1	9606	0.554	0.057	0	0	0.049	0	0	0.543
9606.ENSP00000226004	9606.ENSP00000359488	DUSP3	GBP5	9606	0.544	0	0	0	0.042	0	0	0.544
9606.ENSP00000226004	9606.ENSP00000482732	DUSP3	PTPN9	9606	0.52	0	0	0	0.074	0.071	0	0.487
