ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count,evolutionary_group
GO:0052548,regulation of endopeptidase activity,18/139,288/18870,4.20044782845721e-12,1.4037896642703996e-8,8.984536828868476e-9,TNFSF10/LGALS9/TIMP1/TIMP2/TIMP3/TIMP4/SERPINF1/SERPINB5/CASP8/THBS1/DLC1/RECK/HGF/BIN1/GSN/SYK/KLF4/DAPK1,18,Multicellular non-vertebrate
GO:0052547,regulation of peptidase activity,18/139,312/18870,1.5971261373525334e-11,2.6687977755160832e-8,1.7080843742633412e-8,TNFSF10/LGALS9/TIMP1/TIMP2/TIMP3/TIMP4/SERPINF1/SERPINB5/CASP8/THBS1/DLC1/RECK/HGF/BIN1/GSN/SYK/KLF4/DAPK1,18,Multicellular non-vertebrate
GO:0040013,negative regulation of locomotion,20/139,423/18870,4.02831344386632e-11,4.108244303416529e-8,2.6293591686485835e-8,TIMP1/SERPINF1/TGFB1/BMP4/NKX2-1/SFRP1/BRMS1/THBS1/SEMA3F/DLC1/CDH1/RECK/GATA3/DPYSL3/CERS2/SLIT2/KLF4/PTEN/JUP/ARHGDIB,20,Multicellular non-vertebrate
GO:0060562,epithelial tube morphogenesis,18/139,334/18870,4.9171086815278624e-11,4.108244303416529e-8,2.6293591686485835e-8,MTSS1/TWIST1/SKI/TGFB1/BMP4/GPC3/NKX2-1/ESR1/SFRP1/SMAD4/CASP3/DLC1/PKD1/MAGED1/PFN1/GATA3/KDM5B/SLIT2,18,Multicellular non-vertebrate
GO:2000146,negative regulation of cell motility,19/139,388/18870,7.109429724666791e-11,4.751942827967283e-8,3.0413392001100886e-8,TIMP1/SERPINF1/TGFB1/BMP4/NKX2-1/SFRP1/BRMS1/THBS1/DLC1/CDH1/RECK/GATA3/DPYSL3/CERS2/SLIT2/KLF4/PTEN/JUP/ARHGDIB,19,Multicellular non-vertebrate
GO:0048608,reproductive structure development,17/139,305/18870,1.0427036891651259e-10,5.807859548649751e-8,3.717147186637783e-8,TNFSF10/HOXA10/TP63/SERPINF1/SERPINB5/BMP4/NKX2-1/ESR1/SFRP1/SMAD4/CASP3/PKD1/GATA3/RRM1/KDM5B/IDH1/SLIT2,17,Multicellular non-vertebrate
GO:0061458,reproductive system development,17/139,309/18870,1.2770797678614487e-10,6.09714369170423e-8,3.9022948696157356e-8,TNFSF10/HOXA10/TP63/SERPINF1/SERPINB5/BMP4/NKX2-1/ESR1/SFRP1/SMAD4/CASP3/PKD1/GATA3/RRM1/KDM5B/IDH1/SLIT2,17,Multicellular non-vertebrate
GO:0030336,negative regulation of cell migration,18/139,373/18870,2.9658388413419746e-10,1.2389791759706098e-7,7.929716481061701e-8,TIMP1/SERPINF1/TGFB1/BMP4/NKX2-1/SFRP1/BRMS1/THBS1/DLC1/CDH1/RECK/DPYSL3/CERS2/SLIT2/KLF4/PTEN/JUP/ARHGDIB,18,Multicellular non-vertebrate
GO:0001667,ameboidal-type cell migration,20/139,497/18870,6.894760593431361e-10,2.5602544336941784e-7,1.6386144474681316e-7,TWIST1/TIMP1/SERPINF1/TGFB1/BMP4/GPC3/SMAD4/THBS1/SEMA3F/ITGA2/ITGB1/PLG/PFN1/GATA3/SLIT2/KLF4/TNS1/PTEN/JUP/ARHGDIB,20,Multicellular non-vertebrate
GO:0050673,epithelial cell proliferation,19/139,480/18870,2.5099574779040495e-9,8.24603725969274e-7,5.277630070772512e-7,MTSS1/TWIST1/TP63/SERPINF1/SERPINB5/TGFB1/BMP4/GPC3/ESR1/SFRP1/THBS1/RUNX3/HGF/SOX11/MAGED1/GATA3/KDM5B/NME1/NME2,19,Multicellular non-vertebrate
