ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count,evolutionary_group
GO:0052548,regulation of endopeptidase activity,20/155,288/18870,2.8030919648005547e-13,9.662258002667513e-10,6.18745668440712e-10,NGFR/CD44/TNFSF10/LGALS9/TIMP1/TIMP2/TIMP3/TIMP4/SERPINF1/SERPINB5/CASP8/THBS1/DLC1/RECK/HGF/BIN1/GSN/SYK/KLF4/DAPK1,20,Vertebrates
GO:0040013,negative regulation of locomotion,23/155,423/18870,6.993624588249835e-13,1.0697817857306848e-9,6.850602063357142e-10,NGFR/IGFBP3/ENG/TIMP1/SERPINF1/TGFB1/BMP4/NKX2-1/SFRP1/BRMS1/THBS1/SEMA3F/DLC1/CDH1/RECK/GATA3/DPYSL3/CERS2/SLIT2/KLF4/PTEN/JUP/ARHGDIB,23,Vertebrates
GO:2000146,negative regulation of cell motility,22/155,388/18870,1.0055856890410469e-12,1.0697817857306848e-9,6.850602063357142e-10,NGFR/IGFBP3/ENG/TIMP1/SERPINF1/TGFB1/BMP4/NKX2-1/SFRP1/BRMS1/THBS1/DLC1/CDH1/RECK/GATA3/DPYSL3/CERS2/SLIT2/KLF4/PTEN/JUP/ARHGDIB,22,Vertebrates
GO:0052547,regulation of peptidase activity,20/155,312/18870,1.2414061917385378e-12,1.0697817857306848e-9,6.850602063357142e-10,NGFR/CD44/TNFSF10/LGALS9/TIMP1/TIMP2/TIMP3/TIMP4/SERPINF1/SERPINB5/CASP8/THBS1/DLC1/RECK/HGF/BIN1/GSN/SYK/KLF4/DAPK1,20,Vertebrates
GO:0030336,negative regulation of cell migration,21/155,373/18870,3.938669882994842e-12,2.715319017336644e-9,1.7388191041347757e-9,NGFR/IGFBP3/ENG/TIMP1/SERPINF1/TGFB1/BMP4/NKX2-1/SFRP1/BRMS1/THBS1/DLC1/CDH1/RECK/DPYSL3/CERS2/SLIT2/KLF4/PTEN/JUP/ARHGDIB,21,Vertebrates
GO:0060562,epithelial tube morphogenesis,19/155,334/18870,3.759177600109462e-11,2.159647531262886e-8,1.3829816539350075e-8,ENG/MTSS1/TWIST1/SKI/TGFB1/BMP4/GPC3/NKX2-1/ESR1/SFRP1/SMAD4/CASP3/DLC1/PKD1/MAGED1/PFN1/GATA3/KDM5B/SLIT2,19,Vertebrates
GO:0050673,epithelial cell proliferation,22/155,480/18870,6.486659252390523e-11,3.1942163489985907e-8,2.0454923988365307e-8,NGFR/IGFBP3/CLDN1/MTSS1/TWIST1/TP63/SERPINF1/SERPINB5/TGFB1/BMP4/GPC3/ESR1/SFRP1/THBS1/RUNX3/HGF/SOX11/MAGED1/GATA3/KDM5B/NME1/NME2,22,Vertebrates
GO:0048608,reproductive structure development,17/155,305/18870,5.875267997041592e-10,2.247661772872629e-7,1.439343666564031e-7,TNFSF10/HOXA10/TP63/SERPINF1/SERPINB5/BMP4/NKX2-1/ESR1/SFRP1/SMAD4/CASP3/PKD1/GATA3/RRM1/KDM5B/IDH1/SLIT2,17,Vertebrates
GO:0010951,negative regulation of endopeptidase activity,12/155,128/18870,6.423942197834671e-10,2.247661772872629e-7,1.439343666564031e-7,CD44/TIMP1/TIMP2/TIMP3/TIMP4/SERPINF1/SERPINB5/THBS1/RECK/HGF/BIN1/KLF4,12,Vertebrates
GO:0048732,gland development,20/155,443/18870,6.698586601159792e-10,2.247661772872629e-7,1.439343666564031e-7,CLDN1/CADM1/HOXA10/TP63/SERPINF1/SERPINB5/TGFB1/BMP4/NKX2-1/ESR1/SFRP1/SMAD4/PKD1/CDH1/ITGA2/HGF/GATA3/KDM5B/EPHB3/NME1,20,Vertebrates
GO:0061458,reproductive system development,17/155,309/18870,7.172694952596147e-10,2.247661772872629e-7,1.439343666564031e-7,TNFSF10/HOXA10/TP63/SERPINF1/SERPINB5/BMP4/NKX2-1/ESR1/SFRP1/SMAD4/CASP3/PKD1/GATA3/RRM1/KDM5B/IDH1/SLIT2,17,Vertebrates
GO:0001667,ameboidal-type cell migration,21/155,497/18870,8.016605408845772e-10,2.302769903690948e-7,1.4746334686271567e-7,AKAP12/TWIST1/TIMP1/SERPINF1/TGFB1/BMP4/GPC3/SMAD4/THBS1/SEMA3F/ITGA2/ITGB1/PLG/PFN1/GATA3/SLIT2/KLF4/TNS1/PTEN/JUP/ARHGDIB,21,Vertebrates
GO:0090287,regulation of cellular response to growth factor stimulus,18/155,357/18870,8.913367248071969e-10,2.3634136080080056e-7,1.5134681068183742e-7,NGFR/ENG/SKI/TGFB1/BMP4/GPC3/NKX2-1/SFRP1/SMAD4/BRMS1/THBS1/CD63/CREB3L1/SOX11/GATA3/HTRA1/SLIT2/EP300,18,Vertebrates
GO:0050678,regulation of epithelial cell proliferation,19/155,407/18870,1.0642777766377596e-9,2.620403925764541e-7,1.6780379681273548e-7,NGFR/CLDN1/MTSS1/TWIST1/TP63/SERPINF1/SERPINB5/TGFB1/BMP4/GPC3/SFRP1/THBS1/RUNX3/SOX11/MAGED1/GATA3/KDM5B/NME1/NME2,19,Vertebrates
GO:0010466,negative regulation of peptidase activity,12/155,137/18870,1.4128008137960094e-9,3.2466162701032297e-7,2.0790479344071804e-7,CD44/TIMP1/TIMP2/TIMP3/TIMP4/SERPINF1/SERPINB5/THBS1/RECK/HGF/BIN1/KLF4,12,Vertebrates
GO:0008625,extrinsic apoptotic signaling pathway via death domain receptors,10/155,86/18870,2.1657340699681563e-9,4.665803336987647e-7,2.987858121528437e-7,TNFRSF10A/TNFRSF10B/MAL/TIMP3/SFRP1/CASP8/THBS1/HGF/PTEN/DAPK1,10,Vertebrates
GO:0009612,response to mechanical stimulus,14/155,213/18870,2.536628601012255e-9,5.143387522170142e-7,3.293690511654922e-7,TNFRSF10A/TNFRSF10B/ENG/CASP8/CASP5/THBS1/PKD1/MAP2K4/ITGA2/POSTN/TXNIP/GSN/DMD/JUP,14,Vertebrates
GO:0048511,rhythmic process,16/155,296/18870,3.0127844638755927e-9,5.76948224832176e-7,3.6946251583316484e-7,KISS1/NGFR/TWIST1/AHR/SERPINF1/NKX2-1/BHLHE41/ESR1/CASP3/MAGED1/KDM5B/NOS2/SLIT2/KLF10/EP300/PTEN,16,Vertebrates
GO:0061138,morphogenesis of a branching epithelium,13/155,187/18870,4.897326794269524e-9,8.884781820972132e-7,5.689581322760773e-7,ENG/TP63/BMP4/GPC3/NKX2-1/ESR1/SFRP1/SMAD4/PKD1/HGF/MAGED1/KDM5B/SLIT2,13,Vertebrates
GO:0043281,regulation of cysteine-type endopeptidase activity involved in apoptotic process,12/155,163/18870,1.026885576327279e-8,1.7698372908000653e-6,1.1333573966096338e-6,NGFR/CD44/TNFSF10/LGALS9/CASP8/THBS1/DLC1/HGF/GSN/SYK/KLF4/DAPK1,12,Vertebrates
GO:0001763,morphogenesis of a branching structure,13/155,203/18870,1.316857468096966e-8,2.1615274726334486e-6,1.3841855190974127e-6,ENG/TP63/BMP4/GPC3/NKX2-1/ESR1/SFRP1/SMAD4/PKD1/HGF/MAGED1/KDM5B/SLIT2,13,Vertebrates
GO:0071214,cellular response to abiotic stimulus,16/155,334/18870,1.6721332840697304e-8,2.506018882690592e-6,1.604788785672414e-6,TNFRSF10A/TNFRSF10B/GPR68/ENG/CRYAB/TIMP1/SFRP1/CASP3/CASP8/CASP5/TRPM1/MAP2K4/ITGA2/GATA3/EP300/PTEN,16,Vertebrates
GO:0104004,cellular response to environmental stimulus,16/155,334/18870,1.6721332840697304e-8,2.506018882690592e-6,1.604788785672414e-6,TNFRSF10A/TNFRSF10B/GPR68/ENG/CRYAB/TIMP1/SFRP1/CASP3/CASP8/CASP5/TRPM1/MAP2K4/ITGA2/GATA3/EP300/PTEN,16,Vertebrates
GO:0051346,negative regulation of hydrolase activity,13/155,218/18870,3.07740025900459e-8,4.419916121995343e-6,2.830398396110801e-6,CD44/TIMP1/TIMP2/TIMP3/TIMP4/SERPINF1/SERPINB5/THBS1/RECK/HGF/BIN1/KLF4/RRP1B,13,Vertebrates
GO:0031589,cell-substrate adhesion,16/155,356/18870,4.0686818924282935e-8,5.6098985932801305e-6,3.59243196986195e-6,CD44/OLFM4/TMEM8B/SFRP1/THBS1/DLC1/CD63/PKD1/ITGA2/ITGB1/PLG/POSTN/EPHB3/CDKN2A/PTEN/JUP,16,Vertebrates
GO:0036462,TRAIL-activated apoptotic signaling pathway,5/155,13/18870,4.277870581240505e-8,5.671469189821546e-6,3.631860165530907e-6,TNFRSF10A/TNFRSF10B/TIMP3/CASP8/PTEN,5,Vertebrates
GO:0007162,negative regulation of cell adhesion,15/155,312/18870,4.5777818630057884e-8,5.844301511770723e-6,3.7425374529135044e-6,LGALS9/TGFB1/BMP4/CASP3/PLA2G2A/THBS1/DLC1/CD9/RUNX3/CDH1/PLG/POSTN/CDKN2A/KLF4/PTEN,15,Vertebrates
GO:0016331,morphogenesis of embryonic epithelium,11/155,152/18870,5.1513740480291044e-8,6.341709408412973e-6,4.0610644280891105e-6,TWIST1/SKI/TP63/TGFB1/BMP4/SFRP1/CASP3/DLC1/SOX11/PFN1/GATA3,11,Vertebrates
GO:0097191,extrinsic apoptotic signaling pathway,13/155,229/18870,5.498919070498156e-8,6.536128977933498e-6,4.18556562280749e-6,TNFRSF10A/TNFRSF10B/TNFSF10/MAL/TIMP3/TGFB1/BMP4/SFRP1/CASP8/THBS1/HGF/PTEN/DAPK1,13,Vertebrates
GO:1902043,positive regulation of extrinsic apoptotic signaling pathway via death domain receptors,5/155,14/18870,6.610424264923454e-8,7.595377480397049e-6,4.8638805907173635e-6,MAL/TIMP3/SFRP1/THBS1/PTEN,5,Vertebrates
GO:0045861,negative regulation of proteolysis,13/155,235/18870,7.445516594139818e-8,7.890517871495684e-6,5.052880758715116e-6,CD44/GAS1/TIMP1/TIMP2/TIMP3/TIMP4/SERPINF1/SERPINB5/THBS1/RECK/HGF/BIN1/KLF4,13,Vertebrates
GO:0001655,urogenital system development,8/155,67/18870,7.479462407841614e-8,7.890517871495684e-6,5.052880758715116e-6,HOXA10/TP63/SERPINF1/SERPINB5/BMP4/ESR1/SFRP1/EPHB3,8,Vertebrates
GO:2000116,regulation of cysteine-type endopeptidase activity,12/155,195/18870,7.554020590639907e-8,7.890517871495684e-6,5.052880758715116e-6,NGFR/CD44/TNFSF10/LGALS9/CASP8/THBS1/DLC1/HGF/GSN/SYK/KLF4/DAPK1,12,Vertebrates
GO:0007160,cell-matrix adhesion,13/155,239/18870,9.067164371474463e-8,9.192504584844845e-6,5.886638912378313e-6,CD44/TMEM8B/SFRP1/THBS1/DLC1/CD63/PKD1/ITGA2/ITGB1/POSTN/CDKN2A/PTEN/JUP,13,Vertebrates
GO:1902893,regulation of miRNA transcription,8/155,70/18870,1.0602785186380714e-7,1.0442228724986948e-5,6.686929484463266e-6,NGFR/TWIST1/TGFB1/BMP4/ESR1/SMAD4/GATA3/KLF4,8,Vertebrates
GO:0061614,miRNA transcription,8/155,71/18870,1.1866613989709285e-7,1.136228289514664e-5,7.276108051584904e-6,NGFR/TWIST1/TGFB1/BMP4/ESR1/SMAD4/GATA3/KLF4,8,Vertebrates
GO:0071559,response to transforming growth factor beta,14/155,293/18870,1.417414101930703e-7,1.320493624150036e-5,8.45609494096354e-6,CLDN1/ENG/SKI/TGFB1/NKX2-1/SFRP1/SMAD4/BRMS1/THBS1/RUNX3/SOX11/POSTN/HTRA1/EP300,14,Vertebrates
GO:0030850,prostate gland development,7/155,50/18870,1.6358599761623506e-7,1.4838971941662166e-5,9.502488559591273e-6,HOXA10/TP63/SERPINF1/SERPINB5/BMP4/ESR1/SFRP1,7,Vertebrates
GO:2001233,regulation of apoptotic signaling pathway,16/155,398/18870,1.871799413105657e-7,1.654382712044923e-5,1.0594233115472505e-5,CLU/NGFR/CD44/TNFSF10/MAL/TP63/TIMP3/BMP4/SFRP1/THBS1/HGF/CREB3L1/GNAI2/MAGED1/IVNS1ABP/PTEN,16,Vertebrates
GO:0050680,negative regulation of epithelial cell proliferation,11/155,173/18870,1.9323246588078166e-7,1.665180774727636e-5,1.066338107768419e-5,NGFR/MTSS1/SERPINF1/TGFB1/BMP4/GPC3/SFRP1/THBS1/RUNX3/MAGED1/GATA3,11,Vertebrates
GO:0010586,miRNA metabolic process,9/155,105/18870,2.0693428112455316e-7,1.7397621147227677e-5,1.1140980424086985e-5,NGFR/TWIST1/TGFB1/BMP4/ESR1/SMAD4/GATA3/DICER1/KLF4,9,Vertebrates
GO:0032760,positive regulation of tumor necrosis factor production,9/155,106/18870,2.2456303982528154e-7,1.8430209482803464e-5,1.1802222920140737e-5,CLU/AKAP12/TWIST1/LGALS9/TGFB1/THBS1/APP/MMP8/SYK,9,Vertebrates
GO:0001837,epithelial to mesenchymal transition,11/155,178/18870,2.576285337810636e-7,2.065222223124015e-5,1.3225141623963047e-5,ENG/TWIST1/TGFB1/BMP4/NKX2-1/SFRP1/SMAD4/HGF/PDCD4/GATA3/PTEN,11,Vertebrates
GO:1903557,positive regulation of tumor necrosis factor superfamily cytokine production,9/155,110/18870,3.0879491528325877e-7,2.419127438594075e-5,1.549145783131564e-5,CLU/AKAP12/TWIST1/LGALS9/TGFB1/THBS1/APP/MMP8/SYK,9,Vertebrates
GO:0070372,regulation of ERK1 and ERK2 cascade,14/155,313/18870,3.1679618533941935e-7,2.426658779699952e-5,1.5539686565070466e-5,AKAP12/CD44/LGALS9/TIMP3/TGFB1/BMP4/SMAD4/PLA2G2A/SHC1/NDRG2/APP/GNAI2/SYK/PTEN,14,Vertebrates
GO:0010717,regulation of epithelial to mesenchymal transition,9/155,111/18870,3.337068634799147e-7,2.5006251269897088e-5,1.6013347659436644e-5,ENG/TWIST1/TGFB1/BMP4/NKX2-1/SFRP1/SMAD4/GATA3/PTEN,9,Vertebrates
