category,subcategory,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count,evolutionary_group
Metabolism,Nucleotide metabolism,hsa00240,Pyrimidine metabolism,4/37,58/9561,6.936367537172662e-5,0.010612642331874172,0.009272828181272928,RRM1/NME3/NME1/NME2,4,Unicellular
Metabolism,Xenobiotics biodegradation and metabolism,hsa00983,Drug metabolism - other enzymes,4/37,81/9561,2.5527094597029015e-4,0.015670104582853825,0.013691801045905993,RRM1/NME3/NME1/NME2,4,Unicellular
Metabolism,Global and overview maps,hsa01232,Nucleotide metabolism,4/37,85/9561,3.0725695260497694e-4,0.015670104582853825,0.013691801045905993,RRM1/NME3/NME1/NME2,4,Unicellular
Metabolism,Nucleotide metabolism,hsa00230,Purine metabolism,4/37,128/9561,0.0014378925133880303,0.04399951090967373,0.038444705094795764,RRM1/NME3/NME1/NME2,4,Unicellular
Cellular Processes,Cell growth and death,hsa04115,p53 signaling pathway,7/90,75/9561,6.107889425160082e-6,6.208794286242529e-4,4.718507812532676e-4,SERPINB5/CASP3/CASP8/THBS1/CD82/CDKN2A/PTEN,7,Multicellular non-vertebrate
Environmental Information Processing,Signal transduction,hsa04068,FoxO signaling pathway,7/90,133/9561,2.4632353970432995e-4,0.009155024892344262,0.00695755963024511,TNFSF10/IRS1/TGFB1/SMAD4/FOXO4/EP300/PTEN,7,Multicellular non-vertebrate
Environmental Information Processing,Signal transduction,hsa04350,TGF-beta signaling pathway,6/90,110/9561,5.750756633580537e-4,0.016030234116105747,0.012182523921137717,SKI/TGFB1/BMP4/SMAD4/THBS1/EP300,6,Multicellular non-vertebrate
Organismal Systems,Endocrine system,hsa04935,"Growth hormone synthesis, secretion and action",6/90,122/9561,9.91939622139711e-4,0.020109321430650504,0.015282514752583107,IRS1/SHC1/MAP2K4/CREB3L1/GNAI2/EP300,6,Multicellular non-vertebrate
Organismal Systems,Endocrine system,hsa04926,Relaxin signaling pathway,6/90,130/9561,0.0013783478832411335,0.025614298163564395,0.019466141158054603,TGFB1/SHC1/MAP2K4/CREB3L1/GNAI2/NOS2,6,Multicellular non-vertebrate
Organismal Systems,Development and regeneration,hsa04360,Axon guidance,7/90,184/9561,0.0016981883697886713,0.028533364480937348,0.021684548885678136,DCC/SEMA3F/ITGB1/GNAI2/EPHB3/EPHB6/SLIT2,7,Multicellular non-vertebrate
Metabolism,Nucleotide metabolism,hsa00240,Pyrimidine metabolism,4/90,58/9561,0.002114040497231594,0.03142873539217637,0.023884948775739417,RRM1/NME3/NME1/NME2,4,Multicellular non-vertebrate
NA,NA,hsa04518,Integrin signaling,6/90,154/9561,0.003242952556152498,0.0401765788901115,0.030533062078394863,TGFB1/THBS1/CDH1/ITGA2/ITGB1/HGF,6,Multicellular non-vertebrate
Organismal Systems,Immune system,hsa04659,Th17 cell differentiation,5/90,109/9561,0.003580758319056494,0.04202679500787359,0.03193917392621028,AHR/TGFB1/SMAD4/GATA3/TYK2,5,Multicellular non-vertebrate
Organismal Systems,Nervous system,hsa04722,Neurotrophin signaling pathway,5/90,120/9561,0.0053892488961557955,0.04680883104755334,0.035573385879896564,IRS1/SHC1/MAGED1/ARHGDIB/ARHGDIA,5,Multicellular non-vertebrate
