category,subcategory,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count,evolutionary_group
Cellular Processes,Cell growth and death,hsa04115,p53 signaling pathway,7/90,75/9561,0.09333333333333334,9.915111111111111,7.555585323827178,6.107889425160073e-6,6.208794286242529e-4,4.718507812532676e-4,SERPINB5/CASP3/CASP8/THBS1/CD82/PTEN/CDKN2A,7,Multicellular non-vertebrate
Environmental Information Processing,Signal transduction,hsa04068,FoxO signaling pathway,7/90,133/9561,0.05263157894736842,5.591228070175438,5.197532134210603,2.4632353970432995e-4,0.009155024892344262,0.00695755963024511,TNFSF10/IRS1/TGFB1/SMAD4/FOXO4/EP300/PTEN,7,Multicellular non-vertebrate
Environmental Information Processing,Signal transduction,hsa04350,TGF-beta signaling pathway,6/90,110/9561,0.05454545454545454,5.794545454545455,4.930116522152086,5.750756633580537e-4,0.016030234116105747,0.012182523921137717,SKI/TGFB1/BMP4/SMAD4/THBS1/EP300,6,Multicellular non-vertebrate
Organismal Systems,Endocrine system,hsa04935,"Growth hormone synthesis, secretion and action",6/90,122/9561,0.04918032786885246,5.224590163934426,4.577768099197119,9.91939622139711e-4,0.020109321430650504,0.015282514752583107,IRS1/MAP2K4/CREB3L1/SHC1/GNAI2/EP300,6,Multicellular non-vertebrate
Organismal Systems,Endocrine system,hsa04926,Relaxin signaling pathway,6/90,130/9561,0.046153846153846156,4.903076923076923,4.367693926608181,0.0013783478832411348,0.02561429816356442,0.01946614115805462,TGFB1/MAP2K4/CREB3L1/SHC1/GNAI2/NOS2,6,Multicellular non-vertebrate
Organismal Systems,Development and regeneration,hsa04360,Axon guidance,7/90,184/9561,0.03804347826086957,4.041485507246377,4.060831669883666,0.0016981883697886713,0.028533364480937348,0.021684548885678136,DCC/ITGB1/SEMA3F/GNAI2/EPHB3/EPHB6/SLIT2,7,Multicellular non-vertebrate
Metabolism,Nucleotide metabolism,hsa00240,Pyrimidine metabolism,4/90,58/9561,0.06896551724137931,7.326436781609195,4.710804565811567,0.0021140404972315964,0.0314287353921764,0.02388494877573944,RRM1/NME3/NME1/NME2,4,Multicellular non-vertebrate
Environmental Information Processing,Signaling molecules and interaction,hsa04518,Integrin signaling,6/90,154/9561,0.03896103896103896,4.138961038961039,3.8280094056398766,0.003242952556152498,0.0401765788901115,0.030533062078394863,TGFB1/THBS1/ITGA2/ITGB1/HGF/CDH1,6,Multicellular non-vertebrate
Organismal Systems,Immune system,hsa04659,Th17 cell differentiation,5/90,109/9561,0.045871559633027525,4.873088685015291,3.964250745250983,0.0035807583190564972,0.042026795007873624,0.031939173926210304,AHR/TGFB1/SMAD4/GATA3/TYK2,5,Multicellular non-vertebrate
Organismal Systems,Nervous system,hsa04722,Neurotrophin signaling pathway,5/90,120/9561,0.041666666666666664,4.426388888888889,3.681887884099818,0.0053892488961557955,0.04680883104755334,0.035573385879896564,IRS1/SHC1/MAGED1/ARHGDIB/ARHGDIA,5,Multicellular non-vertebrate
