root,clade_name,n,modified_zscore,significant
4,Ponginae,1,-0.8993210126354603,FALSE
7,Platyrrhini,1,-0.8993210126354603,FALSE
14,Afrotheria,9,0,FALSE
15,Metatheria,6,-0.3372453797382976,FALSE
16,Prototheria,2,-0.7869058860560277,FALSE
17,Sauropsida,14,0.5620756328971627,FALSE
18,Amphibia,7,-0.22483025315886507,FALSE
19,Coelacanthimorpha,5,-0.44966050631773014,FALSE
20,Actinopterygii,75,7.419398354242547,TRUE
21,Tunicata,15,0.6744907594765952,FALSE
22,Cephalochordata,6,-0.3372453797382976,FALSE
23,Ambulacraria,15,0.6744907594765952,FALSE
24,Ecdysozoa,17,0.8993210126354603,FALSE
25,Spiralia,4,-0.5620756328971627,FALSE
26,Cnidaria,6,-0.3372453797382976,FALSE
27,Placozoa,4,-0.5620756328971627,FALSE
28,Porifera,14,0.5620756328971627,FALSE
29,Ctenophora,35,2.9227932910652457,FALSE
30,Choanoflagellata,88,8.88079499977517,TRUE
31,Fungi,8,-0.11241512657943253,FALSE
32,Amoebozoa,15,0.6744907594765952,FALSE
33,Viridiplantae,10,0.11241512657943253,FALSE
34,Discoba,17,0.8993210126354603,FALSE
35,Rhodophyta,2,-0.7869058860560277,FALSE
36,SAR,38,3.260038670803543,FALSE
37,Metamonada,101,10.342191645307793,TRUE
NA,Dermoptera,0,-1.0117361392148927,FALSE
