Root,Dscore,Statistic,Pvalue,AdjPvalue
4,0.9687,8.402,2.2e-17,1.51e-14
7,0.9532,8.784,7.91e-19,5.44e-16
10,0.8137,7.59,1.6e-14,1.1e-11
14,0.9726,8.702,1.63e-18,1.12e-15
14,0.9513,8.447,1.49e-17,1.03e-14
14,0.9026,8.418,1.92e-17,1.32e-14
14,0.8996,8.294,5.49e-17,3.78e-14
14,0.9415,8.244,8.33e-17,5.73e-14
14,0.9455,8.171,1.52e-16,1.05e-13
14,0.9178,8.164,1.62e-16,1.12e-13
14,0.8362,7.757,4.33e-15,2.98e-12
14,0.8255,7.62,1.27e-14,8.72e-12
14,0.7705,7.403,6.63e-14,4.56e-11
15,0.9636,8.938,1.98e-19,1.36e-16
15,0.94,8.418,1.92e-17,1.32e-14
15,0.8952,8.367,2.95e-17,2.03e-14
15,0.8954,8.235,8.95e-17,6.16e-14
15,0.8356,7.799,3.11e-15,2.14e-12
15,0.8197,7.676,8.21e-15,5.65e-12
15,0.5986,6.209,2.67e-10,1.84e-7
16,1,8.771,8.87e-19,6.1e-16
16,0.9735,8.601,3.96e-18,2.73e-15
16,1,8.446,1.51e-17,1.04e-14
16,0.9873,8.357,3.21e-17,2.21e-14
17,0.9647,8.67,2.15e-18,1.48e-15
17,0.9676,8.655,2.47e-18,1.7e-15
17,0.9924,8.639,2.84e-18,1.96e-15
17,0.9289,8.566,5.37e-18,3.69e-15
17,0.9238,8.561,5.61e-18,3.86e-15
17,0.9833,8.537,6.91e-18,4.75e-15
17,0.9788,8.523,7.8e-18,5.37e-15
17,0.9759,8.462,1.31e-17,9.03e-15
17,0.9772,8.447,1.49e-17,1.02e-14
17,0.943,8.394,2.35e-17,1.62e-14
17,0.9924,8.393,2.37e-17,1.63e-14
17,0.992,8.385,2.54e-17,1.75e-14
17,1,8.295,5.43e-17,3.74e-14
17,0.8214,7.694,7.15e-15,4.92e-12
17,0.8499,7.691,7.32e-15,5.04e-12
17,0.7415,7.27,1.8e-13,1.24e-10
18,0.9979,8.543,6.56e-18,4.51e-15
18,0.9979,8.511,8.61e-18,5.92e-15
18,0.9395,8.404,2.15e-17,1.48e-14
18,1,8.397,2.28e-17,1.57e-14
18,0.9979,8.347,3.49e-17,2.4e-14
18,0.9979,8.246,8.19e-17,5.63e-14
18,0.9188,8.044,4.35e-16,3e-13
18,0.789,7.581,1.72e-14,1.18e-11
19,0.9758,8.414,1.97e-17,1.36e-14
19,0.9456,8.394,2.35e-17,1.62e-14
19,0.9712,8.371,2.85e-17,1.96e-14
19,0.9481,8.246,8.16e-17,5.61e-14
19,0.927,8.196,1.24e-16,8.55e-14
19,0.9224,8.096,2.85e-16,1.96e-13
20,0.9953,8.998,1.15e-19,7.91e-17
20,0.9986,8.79,7.49e-19,5.15e-16
20,0.9308,8.678,2.02e-18,1.39e-15
20,0.9954,8.676,2.04e-18,1.41e-15
20,1,8.674,2.08e-18,1.43e-15
20,0.9832,8.67,2.15e-18,1.48e-15
20,0.997,8.655,2.46e-18,1.69e-15
20,0.9776,8.655,2.47e-18,1.7e-15
20,0.9754,8.639,2.83e-18,1.95e-15
20,0.9845,8.631,3.05e-18,2.1e-15
20,0.9983,8.628,3.11e-18,2.14e-15
20,0.9986,8.628,3.13e-18,2.16e-15
20,0.9414,8.625,3.2e-18,2.2e-15
20,0.9964,8.622,3.28e-18,2.26e-15
20,1,8.615,3.5e-18,2.41e-15
20,1,8.61,3.65e-18,2.51e-15
20,1,8.597,4.1e-18,2.82e-15
20,0.9986,8.584,4.57e-18,3.14e-15
20,0.9436,8.583,4.6e-18,3.17e-15
20,0.9414,8.583,4.61e-18,3.17e-15
20,0.9954,8.582,4.65e-18,3.2e-15
20,0.9931,8.578,4.81e-18,3.31e-15
20,1,8.57,5.19e-18,3.57e-15
20,0.9729,8.546,6.4e-18,4.4e-15
20,0.9953,8.541,6.66e-18,4.58e-15
20,1,8.533,7.16e-18,4.93e-15
20,0.999,8.508,8.85e-18,6.09e-15
20,1,8.507,8.91e-18,6.13e-15
20,0.9986,8.507,8.92e-18,6.14e-15
20,1,8.505,9.08e-18,6.25e-15
20,0.9308,8.504,9.19e-18,6.33e-15
20,0.997,8.495,9.87e-18,6.79e-15
20,0.9919,8.488,1.05e-17,7.26e-15
20,0.9804,8.479,1.13e-17,7.78e-15
20,1,8.478,1.14e-17,7.86e-15
20,0.9953,8.476,1.17e-17,8.03e-15
20,0.9986,8.472,1.21e-17,8.29e-15
20,0.9636,8.47,1.23e-17,8.45e-15
20,0.9983,8.465,1.28e-17,8.79e-15
20,0.9986,8.455,1.39e-17,9.6e-15
20,1,8.45,1.46e-17,1e-14
20,0.9329,8.449,1.47e-17,1.01e-14
20,0.9979,8.441,1.57e-17,1.08e-14
20,1,8.422,1.85e-17,1.27e-14
20,0.9364,8.409,2.07e-17,1.42e-14
20,0.9979,8.4,2.23e-17,1.53e-14
20,0.9964,8.397,2.29e-17,1.57e-14
20,0.9479,8.381,2.63e-17,1.81e-14
20,1,8.38,2.65e-17,1.82e-14
20,0.9919,8.374,2.79e-17,1.92e-14
20,0.9345,8.372,2.83e-17,1.94e-14
20,0.9958,8.363,3.06e-17,2.11e-14
20,0.9929,8.361,3.11e-17,2.14e-14
20,0.9382,8.357,3.21e-17,2.21e-14
20,0.94,8.34,3.72e-17,2.56e-14
20,0.9588,8.339,3.75e-17,2.58e-14
20,1,8.333,3.93e-17,2.71e-14
20,0.9588,8.325,4.22e-17,2.9e-14
20,0.9308,8.313,4.67e-17,3.21e-14
20,0.9865,8.302,5.11e-17,3.52e-14
20,0.9897,8.275,6.45e-17,4.44e-14
20,0.9248,8.262,7.19e-17,4.94e-14
20,0.9919,8.254,7.66e-17,5.27e-14
20,0.9219,8.246,8.2e-17,5.64e-14
20,0.9382,8.239,8.65e-17,5.95e-14
20,0.9436,8.237,8.83e-17,6.07e-14
20,0.9986,8.234,9.05e-17,6.23e-14
20,0.9962,8.223,9.92e-17,6.83e-14
20,0.997,8.216,1.05e-16,7.22e-14
20,0.9403,8.213,1.08e-16,7.43e-14
20,0.9708,8.205,1.15e-16,7.94e-14
20,0.9635,8.182,1.4e-16,9.62e-14
20,1,8.178,1.44e-16,9.91e-14
20,0.9441,8.171,1.53e-16,1.05e-13
20,0.9171,8.153,1.77e-16,1.22e-13
