stringId,queryItem
ENSP00000005260,BAIAP2L1
ENSP00000006053,CX3CL1
ENSP00000007722,ITGA3
ENSP00000037502,MYOC
ENSP00000064724,CLDN11
ENSP00000070846,PKP2
ENSP00000166139,FSTL3
ENSP00000188790,FAP
ENSP00000199764,CEACAM6
ENSP00000200181,ITGB4
ENSP00000211998,VCL
ENSP00000212355,TGFBR3
ENSP00000215637,MADCAM1
ENSP00000215886,LGALS2
ENSP00000215909,LGALS1
ENSP00000216037,XBP1
ENSP00000216241,CHADL
ENSP00000216336,CTSG
ENSP00000218388,TIMP1
ENSP00000219022,OLFM4
ENSP00000220772,SFRP1
ENSP00000221930,TGFB1
ENSP00000221992,CEACAM5
ENSP00000222399,LAMB1
ENSP00000222573,ITGB8
ENSP00000223095,SERPINE1
ENSP00000223357,AEBP1
ENSP00000225698,C1QBP
ENSP00000225964,COL1A1
ENSP00000226004,DUSP3
ENSP00000226218,VTN
ENSP00000226730,IL2
ENSP00000228434,CD69
ENSP00000228463,SELPLG
ENSP00000228534,IL23A
ENSP00000229135,IFNG
ENSP00000229583,ADTRP
ENSP00000231228,IL12B
ENSP00000231449,IL4
ENSP00000232003,HRG
ENSP00000233154,NCK2
ENSP00000233809,IGFBP2
ENSP00000233997,AZU1
ENSP00000234347,PRTN3
ENSP00000235310,MAD2L2
ENSP00000235933,CD160
ENSP00000236147,SELL
ENSP00000236850,APOA1
ENSP00000238682,TGFB3
ENSP00000239462,TNN
ENSP00000242159,HOXA7
ENSP00000242261,TWIST1
ENSP00000244050,SNAI1
ENSP00000244336,CEACAM8
ENSP00000245304,RAP2A
ENSP00000245451,BMP4
ENSP00000246792,RRAS
ENSP00000247470,PYCARD
ENSP00000249014,CDC42EP1
ENSP00000249071,RAC2
ENSP00000250378,CMA1
ENSP00000250448,FOXA1
ENSP00000250559,RAP1B
ENSP00000251808,GRHL2
ENSP00000252590,PLVAP
ENSP00000252599,COLGALT1
ENSP00000252699,ACTN4
ENSP00000252804,PXDN
ENSP00000252999,LAMA5
ENSP00000253796,RAMP2
ENSP00000254066,RARA
ENSP00000254301,LGALS3
ENSP00000254528,EMILIN2
ENSP00000254958,JAG1
ENSP00000255006,RIN2
ENSP00000256178,LYVE1
ENSP00000256433,IER3IP1
ENSP00000257189,DSG3
ENSP00000257527,ADAM19
ENSP00000257770,NT5E
ENSP00000257979,MIP
ENSP00000258341,LAMC1
ENSP00000258613,THSD1
ENSP00000259206,IL1RN
ENSP00000259371,DAB2IP
ENSP00000259607,CCL21
ENSP00000260130,SDCBP
ENSP00000260356,THBS1
ENSP00000261023,ITGAV
ENSP00000261590,DSG2
ENSP00000261769,CDH1
ENSP00000262096,ZDHHC2
ENSP00000262120,TWSG1
ENSP00000262158,SMAD7
ENSP00000262407,ITGA2B
ENSP00000262626,HPN
ENSP00000262753,POF1B
ENSP00000262768,TIMP2
ENSP00000263212,PPM1F
ENSP00000263253,EP300
ENSP00000263341,IL1B
ENSP00000263645,CD81
ENSP00000263686,SELP
ENSP00000263710,CLASP1
ENSP00000263735,EPCAM
ENSP00000263923,KDR
ENSP00000263946,PKP1
ENSP00000264094,LOXL3
ENSP00000264246,CD80
ENSP00000264431,RAPGEF2
ENSP00000264436,ADD2
ENSP00000264497,IL21
ENSP00000264638,CNTNAP1
ENSP00000264657,STAT3
ENSP00000264710,RAB10
ENSP00000264741,ITGA9
ENSP00000264808,PRDM5
ENSP00000264832,ICAM1
ENSP00000264972,ZAP70
ENSP00000265016,BST1
ENSP00000265070,GOLPH3
ENSP00000265165,LEF1
ENSP00000265371,NRP1
ENSP00000265562,PTPN23
ENSP00000265734,CDK6
ENSP00000266546,CLSTN3
ENSP00000267082,ITGB7
ENSP00000268603,CDH11
ENSP00000268613,CDH13
ENSP00000269394,ZNF750
ENSP00000270233,BCAM
ENSP00000271417,ILDR2
ENSP00000271638,S100A11
ENSP00000272895,ABCA12
ENSP00000274000,AP1AR
ENSP00000274063,SFRP2
ENSP00000274376,RASA1
ENSP00000274473,MEGF10
ENSP00000275815,EPHA1
ENSP00000276297,DLC1
ENSP00000276440,DOCK5
ENSP00000277541,NOTCH1
ENSP00000278198,LRRC4C
ENSP00000278572,RPS3
ENSP00000278927,ESAM
ENSP00000279227,FERMT3
ENSP00000280333,DOCK1
ENSP00000280357,IL18
