ID,Description,groups,n_groups
GO:0000082,G1/S transition of mitotic cell cycle,Unicellular & Multicellular non-vertebrate & Vertebrates,3
GO:0001952,regulation of cell-matrix adhesion,Unicellular & Multicellular non-vertebrate & Vertebrates,3
GO:0001953,negative regulation of cell-matrix adhesion,Unicellular & Multicellular non-vertebrate & Vertebrates,3
GO:0002347,response to tumor cell,Unicellular & Multicellular non-vertebrate & Vertebrates,3
GO:0002357,defense response to tumor cell,Unicellular & Multicellular non-vertebrate & Vertebrates,3
GO:0003281,ventricular septum development,Unicellular & Multicellular non-vertebrate & Vertebrates,3
GO:0006183,GTP biosynthetic process,Unicellular & Multicellular non-vertebrate & Vertebrates,3
GO:0006220,pyrimidine nucleotide metabolic process,Unicellular & Multicellular non-vertebrate & Vertebrates,3
GO:0006221,pyrimidine nucleotide biosynthetic process,Unicellular & Multicellular non-vertebrate & Vertebrates,3
GO:0006228,UTP biosynthetic process,Unicellular & Multicellular non-vertebrate & Vertebrates,3
GO:0006241,CTP biosynthetic process,Unicellular & Multicellular non-vertebrate & Vertebrates,3
GO:0006309,apoptotic DNA fragmentation,Unicellular & Multicellular non-vertebrate & Vertebrates,3
GO:0006474,N-terminal protein amino acid acetylation,Unicellular & Multicellular non-vertebrate & Vertebrates,3
GO:0006475,internal protein amino acid acetylation,Unicellular & Multicellular non-vertebrate & Vertebrates,3
GO:0006606,protein import into nucleus,Unicellular & Multicellular non-vertebrate & Vertebrates,3
GO:0006801,superoxide metabolic process,Unicellular & Multicellular non-vertebrate & Vertebrates,3
GO:0006979,response to oxidative stress,Unicellular & Multicellular non-vertebrate & Vertebrates,3
GO:0007009,plasma membrane organization,Unicellular & Multicellular non-vertebrate & Vertebrates,3
GO:0007015,actin filament organization,Unicellular & Multicellular non-vertebrate & Vertebrates,3
GO:0007159,leukocyte cell-cell adhesion,Unicellular & Multicellular non-vertebrate & Vertebrates,3
GO:0007411,axon guidance,Unicellular & Multicellular non-vertebrate & Vertebrates,3
GO:0007519,skeletal muscle tissue development,Unicellular & Multicellular non-vertebrate & Vertebrates,3
GO:0007623,circadian rhythm,Unicellular & Multicellular non-vertebrate & Vertebrates,3
GO:0008064,regulation of actin polymerization or depolymerization,Unicellular & Multicellular non-vertebrate & Vertebrates,3
GO:0009147,pyrimidine nucleoside triphosphate metabolic process,Unicellular & Multicellular non-vertebrate & Vertebrates,3
GO:0009148,pyrimidine nucleoside triphosphate biosynthetic process,Unicellular & Multicellular non-vertebrate & Vertebrates,3
GO:0009208,pyrimidine ribonucleoside triphosphate metabolic process,Unicellular & Multicellular non-vertebrate & Vertebrates,3
GO:0009209,pyrimidine ribonucleoside triphosphate biosynthetic process,Unicellular & Multicellular non-vertebrate & Vertebrates,3
