category,subcategory,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count,evolutionary_group
Cellular Processes,Cell growth and death,hsa04115,p53 signaling pathway,10/102,75/9561,0.13333333333333333,12.498039215686275,10.380523987508372,5.6917448941896695e-9,1.2806426011926756e-6,9.526183559749025e-7,TNFRSF10A/TNFRSF10B/IGFBP3/SERPINB5/CASP3/CASP8/THBS1/CD82/PTEN/CDKN2A,10,Vertebrates
Organismal Systems,Endocrine system,hsa04935,"Growth hormone synthesis, secretion and action",7/102,122/9561,0.05737704918032787,5.378254580520734,5.0538733264409785,3.1419987364496164e-4,0.012702675631466497,0.009449007838143501,IGFBP3/IRS1/MAP2K4/CREB3L1/SHC1/GNAI2/EP300,7,Vertebrates
Environmental Information Processing,Signal transduction,hsa04068,FoxO signaling pathway,7/102,133/9561,0.05263157894736842,4.93343653250774,4.743452979472979,5.304233985828838e-4,0.01387073567887799,0.010317880575165382,TNFSF10/IRS1/TGFB1/SMAD4/FOXO4/EP300/PTEN,7,Vertebrates
Organismal Systems,Immune system,hsa04650,Natural killer cell mediated cytotoxicity,7/102,134/9561,0.05223880597014925,4.896619841966637,4.716937291077579,5.548294271551196e-4,0.01387073567887799,0.010317880575165382,TNFRSF10A/TNFRSF10B/ICAM2/TNFSF10/CASP3/SHC1/SYK,7,Vertebrates
Environmental Information Processing,Signal transduction,hsa04350,TGF-beta signaling pathway,6/102,110/9561,0.05454545454545454,5.11283422459893,4.505106738702841,0.0011128231827891592,0.0227622923752328,0.01693195081947142,SKI/TGFB1/BMP4/SMAD4/THBS1/EP300,6,Vertebrates
Environmental Information Processing,Signaling molecules and interaction,hsa04518,Integrin signaling,7/102,154/9561,0.045454545454545456,4.2606951871657754,4.2359557055715795,0.001261741711143855,0.022854072855492038,0.017000222615313376,ICAM2/TGFB1/THBS1/ITGB1/ITGA2/CDH1/HGF,7,Vertebrates
Environmental Information Processing,Signaling molecules and interaction,hsa04517,IgSF CAM signaling,10/102,302/9561,0.033112582781456956,3.1038176860148035,3.8577666155189423,0.0013903176104278416,0.022854072855492038,0.017000222615313376,ICAM2/CADM1/CXADR/MTSS1/DCC/EPB41L3/ITGB1/CDH1/APP/SLIT2,10,Vertebrates
Organismal Systems,Nervous system,hsa04722,Neurotrophin signaling pathway,6/102,120/9561,0.05,4.686764705882353,4.22020419395818,0.0017423919998796474,0.02450238749830754,0.0182263373671621,NGFR/IRS1/SHC1/MAGED1/ARHGDIB/ARHGDIA,6,Vertebrates
Organismal Systems,Endocrine system,hsa04926,Relaxin signaling pathway,6/102,130/9561,0.046153846153846156,4.3262443438914024,3.965092945802646,0.002611932950137851,0.03456970081064803,0.02571500551528906,TGFB1/MAP2K4/CREB3L1/SHC1/GNAI2/NOS2,6,Vertebrates
Metabolism,Nucleotide metabolism,hsa00240,Pyrimidine metabolism,4/102,58/9561,0.06896551724137931,6.464503042596348,4.334517129227488,0.0033317430826611725,0.03895422713055619,0.02897647772518566,RRM1/NME3/NME1/NME2,4,Vertebrates
Organismal Systems,Development and regeneration,hsa04360,Axon guidance,7/102,184/9561,0.03804347826086957,3.566016624040921,3.649579583680969,0.0034625979671605504,0.03895422713055619,0.02897647772518566,DCC/SEMA3F/ITGB1/GNAI2/EPHB3/EPHB6/SLIT2,7,Vertebrates
Cellular Processes,Cell growth and death,hsa04215,Apoptosis - multiple species,3/102,32/9561,0.09375,8.787683823529411,4.582115752107876,0.004671191762041623,0.04910902540555746,0.03653022240694099,NGFR/CASP3/CASP8,3,Vertebrates
