category,subcategory,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count,evolutionary_group
Metabolism,Nucleotide metabolism,hsa00240,Pyrimidine metabolism,4/37,58/9561,0.06896551724137931,17.821062441752098,8.008610458128913,6.936367537172662e-5,0.010612642331874172,0.009272828181272928,RRM1/NME3/NME1/NME2,4,Unicellular
Metabolism,Xenobiotics biodegradation and metabolism,hsa00983,Drug metabolism - other enzymes,4/37,81/9561,0.04938271604938271,12.760760760760759,6.625121863357483,2.5527094597029015e-4,0.015670104582853825,0.013691801045905993,RRM1/NME3/NME1/NME2,4,Unicellular
Metabolism,Global and overview maps,hsa01232,Nucleotide metabolism,4/37,85/9561,0.047058823529411764,12.160254372019079,6.441561315531968,3.0725695260497694e-4,0.015670104582853825,0.013691801045905993,RRM1/NME3/NME1/NME2,4,Unicellular
Human Diseases,Cancer: overview,hsa05203,Viral carcinogenesis,5/37,205/9561,0.024390243902439025,6.302570863546474,4.783418952251071,0.0010762200994362387,0.04116541880343613,0.03596840858642167,GSN/SYK/EP300/HDAC10/CDKN2A,5,Unicellular
Metabolism,Nucleotide metabolism,hsa00230,Purine metabolism,4/37,128/9561,0.03125,8.07516891891892,5.022697183098367,0.0014378925133880303,0.04399951090967373,0.038444705094795764,RRM1/NME3/NME1/NME2,4,Unicellular
Human Diseases,Cancer: overview,hsa05205,Proteoglycans in cancer,12/53,204/9561,0.058823529411764705,10.611542730299666,10.360057466661871,7.979919688485768e-10,1.412445784861981e-7,1.0499894326954959e-7,TWIST1/TIMP3/GPC3/CASP3/TGFB1/THBS1/ESR1/CD63/ITGB1/ITGA2/PDCD4/HGF,12,Multicellular non-vertebrate
Cellular Processes,Cell growth and death,hsa04115,p53 signaling pathway,5/53,75/9561,0.06666666666666667,12.026415094339622,7.157242030043122,5.55402482584216e-5,0.0033584689633365866,0.002496631700369154,SERPINB5/CASP3/CASP8/THBS1/CD82,5,Multicellular non-vertebrate
Human Diseases,Cancer: overview,hsa05206,MicroRNAs in cancer,9/53,320/9561,0.028125,5.073643867924528,5.533766848108217,5.692320276841672e-5,0.0033584689633365866,0.002496631700369154,IRS1/TIMP3/TP63/SERPINB5/CASP3/THBS1/RECK/PDCD4/SHC1,9,Multicellular non-vertebrate
Environmental Information Processing,Signaling molecules and interaction,hsa04518,Integrin signaling,6/53,154/9561,0.03896103896103896,7.0284244057828955,5.630680723074388,1.9469559540604266e-4,0.008615280096717387,0.006404460375198772,TGFB1/THBS1/ITGB1/ITGA2/CDH1/HGF,6,Multicellular non-vertebrate
Human Diseases,Infectious disease: viral,hsa05161,Hepatitis B,6/53,163/9561,0.03680981595092025,6.640351892580161,5.422562620893322,2.6499958224392216e-4,0.009380985211434843,0.006973673216945321,CASP3/CASP8/TGFB1/SMAD4/MAP2K4/CREB3L1,6,Multicellular non-vertebrate
Environmental Information Processing,Signal transduction,hsa04350,TGF-beta signaling pathway,5/53,110/9561,0.045454545454545456,8.19982847341338,5.670246059632473,3.4023482388481575e-4,0.010036927304602065,0.007461289997474031,SKI/TGFB1/BMP4/SMAD4/THBS1,5,Multicellular non-vertebrate
Environmental Information Processing,Signaling molecules and interaction,hsa04517,IgSF CAM signaling,7/53,302/9561,0.023178807947019868,4.181369486442584,4.194284013635441,0.001296003067987941,0.027370277831236692,0.020346623424945504,CXADR/MTSS1/DCC/EPB41L3/ITGB1/CDH1/APP,7,Multicellular non-vertebrate
Human Diseases,Cancer: specific types,hsa05210,Colorectal cancer,4/53,87/9561,0.04597701149425287,8.294079375406637,5.102531748146246,0.0013334521184174063,0.027370277831236692,0.020346623424945504,CASP3/DCC/TGFB1/SMAD4,4,Multicellular non-vertebrate
Human Diseases,Cancer: specific types,hsa05226,Gastric cancer,5/53,150/9561,0.03333333333333333,6.013207547169811,4.620252620640704,0.0013917090422662724,0.027370277831236692,0.020346623424945504,TGFB1/SMAD4/CDH1/HGF/SHC1,5,Multicellular non-vertebrate
Human Diseases,Infectious disease: parasitic,hsa05144,Malaria,3/53,50/9561,0.06,10.823773584905659,5.199631309381729,0.002623192836573319,0.04643051320734775,0.03451569521806999,TGFB1/THBS1/HGF,3,Multicellular non-vertebrate
Cellular Processes,Cell growth and death,hsa04115,p53 signaling pathway,3/12,75/9561,0.04,31.87,9.51406958560283,9.69495551526789e-5,0.003877982206107156,0.0026533562462838435,TNFRSF10A/TNFRSF10B/IGFBP3,3,Vertebrates
Environmental Information Processing,Signaling molecules and interaction,hsa04060,Cytokine-cytokine receptor interaction,4/12,298/9561,0.013422818791946308,10.694630872483222,6.027041755364784,3.7555729761877625e-4,0.007198324275968257,0.004925169241451965,TNFRSF10A/TNFRSF10B/LIFR/NGFR,4,Vertebrates
Organismal Systems,Immune system,hsa04650,Natural killer cell mediated cytotoxicity,3/12,134/9561,0.022388059701492536,17.83768656716418,6.958068325248169,5.398743206976193e-4,0.007198324275968257,0.004925169241451965,TNFRSF10A/TNFRSF10B/ICAM2,3,Vertebrates
Environmental Information Processing,Signaling molecules and interaction,hsa04514,Cell adhesion molecule (CAM) interaction,3/12,160/9561,0.01875,14.939062499999999,6.302997761164418,9.055626978379011e-4,0.00905562697837901,0.006195955300996165,ICAM2/CADM1/CLDN1,3,Vertebrates
Human Diseases,Infectious disease: bacterial,hsa05130,Pathogenic Escherichia coli infection,3/12,203/9561,0.014778325123152709,11.774630541871922,5.500466301271652,0.0018009913901864327,0.014407931121491462,0.009858058135757318,TNFRSF10A/TNFRSF10B/CLDN1,3,Vertebrates
Environmental Information Processing,Signaling molecules and interaction,hsa04061,Viral protein interaction with cytokine and cytokine receptor,2/12,100/9561,0.02,15.935,5.322030120987465,0.006676345451634904,0.044508969677566027,0.03045350556886097,TNFRSF10A/TNFRSF10B,2,Vertebrates
