category,subcategory,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count,evolutionary_group
Human Diseases,Cancer: overview,hsa05205,Proteoglycans in cancer,12/53,204/9561,0.058823529411764705,10.611542730299666,10.360057466661871,7.979919688485768e-10,1.412445784861981e-7,1.0499894326954959e-7,TWIST1/TIMP3/GPC3/CASP3/TGFB1/THBS1/ESR1/CD63/ITGB1/ITGA2/PDCD4/HGF,12,Multicellular non-vertebrate
Cellular Processes,Cell growth and death,hsa04115,p53 signaling pathway,5/53,75/9561,0.06666666666666667,12.026415094339622,7.157242030043122,5.55402482584216e-5,0.0033584689633365866,0.002496631700369154,SERPINB5/CASP3/CASP8/THBS1/CD82,5,Multicellular non-vertebrate
Human Diseases,Cancer: overview,hsa05206,MicroRNAs in cancer,9/53,320/9561,0.028125,5.073643867924528,5.533766848108217,5.692320276841672e-5,0.0033584689633365866,0.002496631700369154,IRS1/TIMP3/TP63/SERPINB5/CASP3/THBS1/RECK/PDCD4/SHC1,9,Multicellular non-vertebrate
Environmental Information Processing,Signaling molecules and interaction,hsa04518,Integrin signaling,6/53,154/9561,0.03896103896103896,7.0284244057828955,5.630680723074388,1.9469559540604266e-4,0.008615280096717387,0.006404460375198772,TGFB1/THBS1/ITGB1/ITGA2/CDH1/HGF,6,Multicellular non-vertebrate
Human Diseases,Infectious disease: viral,hsa05161,Hepatitis B,6/53,163/9561,0.03680981595092025,6.640351892580161,5.422562620893322,2.6499958224392216e-4,0.009380985211434843,0.006973673216945321,CASP3/CASP8/TGFB1/SMAD4/MAP2K4/CREB3L1,6,Multicellular non-vertebrate
Environmental Information Processing,Signal transduction,hsa04350,TGF-beta signaling pathway,5/53,110/9561,0.045454545454545456,8.19982847341338,5.670246059632473,3.4023482388481575e-4,0.010036927304602065,0.007461289997474031,SKI/TGFB1/BMP4/SMAD4/THBS1,5,Multicellular non-vertebrate
Environmental Information Processing,Signaling molecules and interaction,hsa04517,IgSF CAM signaling,7/53,302/9561,0.023178807947019868,4.181369486442584,4.194284013635441,0.001296003067987941,0.027370277831236692,0.020346623424945504,CXADR/MTSS1/DCC/EPB41L3/ITGB1/CDH1/APP,7,Multicellular non-vertebrate
Human Diseases,Cancer: specific types,hsa05210,Colorectal cancer,4/53,87/9561,0.04597701149425287,8.294079375406637,5.102531748146246,0.0013334521184174063,0.027370277831236692,0.020346623424945504,CASP3/DCC/TGFB1/SMAD4,4,Multicellular non-vertebrate
Human Diseases,Cancer: specific types,hsa05226,Gastric cancer,5/53,150/9561,0.03333333333333333,6.013207547169811,4.620252620640704,0.0013917090422662724,0.027370277831236692,0.020346623424945504,TGFB1/SMAD4/CDH1/HGF/SHC1,5,Multicellular non-vertebrate
Human Diseases,Infectious disease: parasitic,hsa05144,Malaria,3/53,50/9561,0.06,10.823773584905659,5.199631309381729,0.002623192836573319,0.04643051320734775,0.03451569521806999,TGFB1/THBS1/HGF,3,Multicellular non-vertebrate
