root,clade_name,n,modified_z_scores,p_value,p_adjusted,acumulado
36,SAR,46,3.3724999999999996,7.448908648460479e-4,0.004841790621499311,184
35,Rhodophyta,3,-0.7708571428571428,0.4407916123470922,0.8613152668286361,187
34,Discoba,25,1.349,0.1773369660909303,0.8613152668286361,212
33,Viridiplantae,12,0.09635714285714285,0.9232369287297946,1,224
32,Amoebozoa,19,0.7708571428571428,0.4407916123470922,0.8613152668286361,243
31,Fungi,11,0,1,1,254
30,Choanoflagellata,123,10.792,3.755268835676696e-27,9.763698972759411e-26,377
29,Ctenophora,50,3.7579285714285713,1.7132576849071554e-4,0.0014848233269195345,427
28,Porifera,21,0.9635714285714286,0.3352608370064554,0.8613152668286361,448
27,Placozoa,4,-0.6745,0.49999348572739843,0.8613152668286361,452
26,Cnidaria,10,-0.09635714285714285,0.9232369287297946,1,462
25,Spiralia,5,-0.5781428571428571,0.5631676744648775,0.8613152668286361,467
24,Ecdysozoa,23,1.1562857142857141,0.24756430970384702,0.8613152668286361,490
23,Ambulacraria,18,0.6745,0.49999348572739843,0.8613152668286361,508
22,Cephalochordata,11,0,1,1,519
21,Tunicata,17,0.5781428571428571,0.5631676744648775,0.8613152668286361,536
20,Actinopterygii,96,8.190357142857142,2.604521491527404e-16,3.385877938985625e-15,632
19,Coelacanthimorpha,6,-0.4817857142857143,0.6299581787034563,0.862048034015256,638
18,Amphibia,8,-0.28907142857142853,0.7725267173595418,0.9564616500641947,646
17,Sauropsida,16,0.4817857142857143,0.6299581787034563,0.862048034015256,662
16,Prototheria,4,-0.6745,0.49999348572739843,0.8613152668286361,666
15,Metatheria,7,-0.3854285714285714,0.6999199176837845,0.9098958929889198,673
14,Afrotheria,10,-0.09635714285714285,0.9232369287297946,1,683
10,Dermoptera,1,-0.9635714285714286,0.3352608370064554,0.8613152668286361,684
7,Platyrrhini,1,-0.9635714285714286,0.3352608370064554,0.8613152668286361,685
4,Ponginae,1,-0.9635714285714286,0.3352608370064554,0.8613152668286361,686
