root,clade_name,n,modified_zscore,significant
4,Ponginae,1,-1.0423948101001925,FALSE
7,Platyrrhini,1,-1.0423948101001925,FALSE
14,Afrotheria,9,-0.06131734177059957,FALSE
15,Metatheria,6,-0.429221392394197,FALSE
16,Prototheria,2,-0.9197601265589935,FALSE
17,Sauropsida,14,0.5518560759353961,FALSE
18,Amphibia,7,-0.3065867088529978,FALSE
19,Coelacanthimorpha,5,-0.5518560759353961,FALSE
20,Actinopterygii,75,8.032571771948543,TRUE
21,Tunicata,15,0.6744907594765952,FALSE
22,Cephalochordata,6,-0.429221392394197,FALSE
23,Ambulacraria,15,0.6744907594765952,FALSE
24,Ecdysozoa,17,0.9197601265589935,FALSE
25,Spiralia,4,-0.6744907594765952,FALSE
26,Cnidaria,6,-0.429221392394197,FALSE
27,Placozoa,4,-0.6744907594765952,FALSE
28,Porifera,14,0.5518560759353961,FALSE
29,Ctenophora,35,3.127184430300578,FALSE
30,Choanoflagellata,88,9.626822657984132,TRUE
31,Fungi,8,-0.1839520253117987,FALSE
32,Amoebozoa,15,0.6744907594765952,FALSE
33,Viridiplantae,10,0.06131734177059957,FALSE
34,Discoba,17,0.9197601265589935,FALSE
35,Rhodophyta,2,-0.9197601265589935,FALSE
36,SAR,38,3.495088480924175,FALSE
37,Metamonada,101,11.22107354401972,TRUE
