root,clade_name,n,modified_z_scores,p_value,p_adjusted,acumulado
36,SAR,60,3.4474444444444448,5.659167818044509e-4,0.004841790621499304,217
35,Rhodophyta,5,-0.6745,0.49999348572739843,0.866655375260824,222
34,Discoba,27,0.9742777777777777,0.32991863536155075,0.866655375260824,249
33,Viridiplantae,13,-0.07494444444444444,0.9402589144120104,1,262
32,Amoebozoa,23,0.6745,0.49999348572739843,0.866655375260824,285
31,Fungi,14,0,1,1,299
30,Choanoflagellata,138,9.293111111111111,1.49843070526543e-20,3.8959198336901184e-19,437
29,Ctenophora,59,3.3725,7.448908648460467e-4,0.004841790621499304,496
28,Porifera,26,0.8993333333333333,0.3684751374558154,0.866655375260824,522
27,Placozoa,4,-0.7494444444444445,0.4535893716007795,0.866655375260824,526
26,Cnidaria,14,0,1,1,540
25,Spiralia,8,-0.44966666666666666,0.6529508099069458,0.8935116346095048,548
24,Ecdysozoa,26,0.8993333333333333,0.3684751374558154,0.866655375260824,574
23,Ambulacraria,23,0.6745,0.49999348572739843,0.866655375260824,597
22,Cephalochordata,15,0.07494444444444444,0.9402589144120104,1,612
21,Tunicata,17,0.22483333333333333,0.8221089336223839,1,629
20,Actinopterygii,103,6.670055555555555,2.5570660927984582e-11,3.3241859206379955e-10,732
19,Coelacanthimorpha,6,-0.5995555555555555,0.5488024746342058,0.8918040212805844,738
18,Amphibia,8,-0.44966666666666666,0.6529508099069458,0.8935116346095048,746
17,Sauropsida,16,0.14988888888888888,0.8808522780633911,1,762
16,Prototheria,4,-0.7494444444444445,0.4535893716007795,0.866655375260824,766
15,Metatheria,8,-0.44966666666666666,0.6529508099069458,0.8935116346095048,774
14,Afrotheria,10,-0.29977777777777775,0.7643466669667752,0.9936506670568078,784
10,Dermoptera,1,-0.9742777777777777,0.32991863536155075,0.866655375260824,785
7,Platyrrhini,1,-0.9742777777777777,0.32991863536155075,0.866655375260824,786
4,Ponginae,1,-0.9742777777777777,0.32991863536155075,0.866655375260824,787
