cog_id,root,clade_name,string_id,queryItem,evolutionary_group,group_color
NOG83179,15,Metatheria,ENSP00000362108,LCN2,Vertebrates,#009E73
NOG43638,18,Amphibia,ENSP00000356162,KISS1,Vertebrates,#009E73
NOG11571,20,Actinopterygii,ENSP00000221132,TNFRSF10A,Vertebrates,#009E73
NOG11571,20,Actinopterygii,ENSP00000276431,TNFRSF10B,Vertebrates,#009E73
NOG00771,20,Actinopterygii,ENSP00000315130,CLU,Vertebrates,#009E73
NOG01189,20,Actinopterygii,ENSP00000263409,LIFR,Vertebrates,#009E73
NOG09814,20,Actinopterygii,ENSP00000172229,NGFR,Vertebrates,#009E73
NOG11833,20,Actinopterygii,ENSP00000384537,AKAP12,Vertebrates,#009E73
NOG09326,20,Actinopterygii,ENSP00000370473,IGFBP3,Vertebrates,#009E73
NOG256826,20,Actinopterygii,ENSP00000398632,CD44,Vertebrates,#009E73
NOG11150,20,Actinopterygii,ENSP00000295522,CLDN1,Vertebrates,#009E73
NOG01354,20,Actinopterygii,ENSP00000434045,GPR68,Vertebrates,#009E73
NOG10515,20,Actinopterygii,ENSP00000329797,CADM1,Vertebrates,#009E73
NOG18285,20,Actinopterygii,ENSP00000415283,ICAM2,Vertebrates,#009E73
NOG272242,20,Actinopterygii,ENSP00000311313,CST6,Vertebrates,#009E73
NOG18232,20,Actinopterygii,ENSP00000362299,ENG,Vertebrates,#009E73
NOG258523,21,Tunicata,ENSP00000298743,GAS1,Multicellular non-vertebrate,#0072B2
NOG05020,22,Cephalochordata,ENSP00000268638,IRF8,Multicellular non-vertebrate,#0072B2
NOG11949,22,Cephalochordata,ENSP00000360472,LGI1,Multicellular non-vertebrate,#0072B2
NOG03235,22,Cephalochordata,ENSP00000284878,CXADR,Multicellular non-vertebrate,#0072B2
NOG13312,22,Cephalochordata,ENSP00000356791,DPT,Multicellular non-vertebrate,#0072B2
NOG255743,23,Ambulacraria,ENSP00000370981,LZTS1,Multicellular non-vertebrate,#0072B2
NOG19818,23,Ambulacraria,ENSP00000255688,RARRES3,Multicellular non-vertebrate,#0072B2
NOG12100,23,Ambulacraria,ENSP00000303398,MTBP,Multicellular non-vertebrate,#0072B2
NOG00756,23,Ambulacraria,ENSP00000241261,TNFSF10,Multicellular non-vertebrate,#0072B2
COG4409,23,Ambulacraria,ENSP00000364782,NEU1,Multicellular non-vertebrate,#0072B2
KOG4788,24,Ecdysozoa,ENSP00000310880,MAL,Multicellular non-vertebrate,#0072B2
KOG3545,24,Ecdysozoa,ENSP00000219022,OLFM4,Multicellular non-vertebrate,#0072B2
KOG2692,24,Ecdysozoa,ENSP00000225276,ST6GALNAC2,Multicellular non-vertebrate,#0072B2
NOG06917,24,Ecdysozoa,ENSP00000304895,IRS1,Multicellular non-vertebrate,#0072B2
NOG02565,25,Spiralia,ENSP00000322804,MTSS1,Multicellular non-vertebrate,#0072B2
NOG239425,25,Spiralia,ENSP00000398736,CYR61,Multicellular non-vertebrate,#0072B2
KOG0487,25,Spiralia,ENSP00000283921,HOXA10,Multicellular non-vertebrate,#0072B2
NOG239366,25,Spiralia,ENSP00000367227,TMEM8B,Multicellular non-vertebrate,#0072B2
KOG3591,26,Cnidaria,ENSP00000433560,CRYAB,Multicellular non-vertebrate,#0072B2
KOG4004,26,Cnidaria,ENSP00000414856,SPARCL1,Multicellular non-vertebrate,#0072B2
KOG3805,26,Cnidaria,ENSP00000363149,SPDEF,Multicellular non-vertebrate,#0072B2
NOG09140,26,Cnidaria,ENSP00000340494,ZNF395,Multicellular non-vertebrate,#0072B2
KOG4447,26,Cnidaria,ENSP00000242261,TWIST1,Multicellular non-vertebrate,#0072B2
KOG3587,27,Placozoa,ENSP00000378856,LGALS9,Multicellular non-vertebrate,#0072B2
NOG05235,28,Porifera,ENSP00000367797,SKI,Multicellular non-vertebrate,#0072B2
KOG3560,28,Porifera,ENSP00000242057,AHR,Multicellular non-vertebrate,#0072B2
NOG236267,28,Porifera,ENSP00000264731,TP63,Multicellular non-vertebrate,#0072B2
KOG4745,28,Porifera,ENSP00000218388,TIMP1,Multicellular non-vertebrate,#0072B2
KOG4745,28,Porifera,ENSP00000262768,TIMP2,Multicellular non-vertebrate,#0072B2
KOG4745,28,Porifera,ENSP00000266085,TIMP3,Multicellular non-vertebrate,#0072B2
