node,cog_id,root,clade_name,queryItem,cellular extravasation,cell junction organization,cell adhesion,extracellular matrix organization,epithelial to mesenchymal transition,regulation of metallopeptidase activity,metastasis suppressor
ENSP00000002829,KOG3611,30,Choanoflagellata,SEMA3F,0,0,0,0,0,0,1
ENSP00000005260,NOG06845,22,Cephalochordata,BAIAP2L1,0,0,1,0,0,0,0
ENSP00000006053,NOG55152,17,Sauropsida,CX3CL1,0,0,1,0,0,0,0
ENSP00000064724,NOG03800,21,Tunicata,CLDN11,0,1,0,0,0,0,0
ENSP00000070846,KOG1048,30,Choanoflagellata,PKP2,0,1,1,0,0,0,0
ENSP00000160262,NOG18285,20,Actinopterygii,ICAM3,0,0,1,0,0,0,0
ENSP00000172229,NOG09814,20,Actinopterygii,NGFR,0,0,0,0,0,0,1
ENSP00000188790,COG1506,37,Metamonada,FAP,0,0,0,1,0,0,0
ENSP00000199764,NOG14493,20,Actinopterygii,CEACAM6,0,0,1,0,0,0,0
ENSP00000200181,KOG1226,30,Choanoflagellata,ITGB4,0,1,1,0,0,0,0
ENSP00000203629,NOG23311,20,Actinopterygii,LAG3,0,0,1,0,0,0,0
ENSP00000211998,KOG3681,30,Choanoflagellata,VCL,0,1,1,0,0,0,0
ENSP00000212355,NOG09784,23,Ambulacraria,TGFBR3,0,0,0,1,0,0,0
ENSP00000215637,NOG59284,14,Afrotheria,MADCAM1,1,0,1,0,0,0,0
ENSP00000215909,KOG3587,27,Placozoa,LGALS1,0,0,1,0,0,0,0
ENSP00000216037,KOG4005,29,Ctenophora,XBP1,0,0,1,0,0,0,0
ENSP00000216271,COG0123,37,Metamonada,HDAC10,0,0,0,0,0,0,1
ENSP00000216336,COG5640,30,Choanoflagellata,CTSG,0,0,1,0,0,0,0
ENSP00000218388,KOG4745,28,Porifera,TIMP1,0,0,0,0,0,1,1
ENSP00000219022,KOG3545,24,Ecdysozoa,OLFM4,0,0,1,0,0,0,1
ENSP00000219302,COG0105,37,Metamonada,NME3,0,0,0,0,0,0,1
ENSP00000220772,KOG3577,29,Ctenophora,SFRP1,0,0,0,0,1,0,1
ENSP00000221132,NOG11571,20,Actinopterygii,TNFRSF10A,0,0,0,0,0,0,1
ENSP00000221561,KOG0639,29,Ctenophora,AES,0,0,0,0,0,0,1
ENSP00000221930,KOG3900,29,Ctenophora,TGFB1,0,0,1,1,1,0,1
ENSP00000221980,NOG18285,20,Actinopterygii,ICAM5,0,0,1,0,0,0,0
ENSP00000222390,COG5640,30,Choanoflagellata,HGF,0,0,0,0,0,0,1
ENSP00000222399,KOG0994,30,Choanoflagellata,LAMB1,0,0,1,0,0,0,0
ENSP00000222573,KOG1226,30,Choanoflagellata,ITGB8,0,0,1,0,0,0,0
ENSP00000223095,COG4826,28,Porifera,SERPINE1,0,0,1,0,0,0,0
ENSP00000225655,KOG1755,35,Rhodophyta,PFN1,0,0,0,0,0,0,1
ENSP00000225698,KOG4024,29,Ctenophora,C1QBP,0,0,1,0,0,0,0
ENSP00000225964,KOG3544,34,Discoba,COL1A1,0,0,0,1,1,0,0
ENSP00000226004,COG2453,37,Metamonada,DUSP3,0,1,1,0,0,0,0
ENSP00000226218,KOG1565,30,Choanoflagellata,VTN,0,0,1,0,0,0,0
