GeneID	GeneSymb	Alias	Links	Cytoband	Description
1029	CDKN2A	ARF|CDK4I|CDKN2|CMM2|INK4|INK4A|MLM|MTS-1|MTS1|P14|P14ARF|P16|P16-INK4A|P16INK4|P16INK4A|P19|P19ARF|TP16	HGNC:1787|MIM:600160|Ensembl:ENSG00000147889|HPRD:02542|Vega:OTTHUMG00000019686	9p21	cyclin-dependent kinase inhibitor 2A
10395	DLC1	ARHGAP7|HP|STARD12|p122-RhoGAP	HGNC:2897|MIM:604258|Ensembl:ENSG00000164741|HPRD:05035|Vega:OTTHUMG00000090825	8p22	DLC1 Rho GTPase activating protein
10397	NDRG1	CAP43|CMT4D|DRG-1|DRG1|GC4|HMSNL|NDR1|NMSL|PROXY1|RIT42|RTP|TARG1|TDD5	HGNC:7679|MIM:605262|Ensembl:ENSG00000104419|HPRD:05586|Vega:OTTHUMG00000164441	8q24.3	N-myc downstream regulated 1
10553	HTATIP2	CC3|SDR44U1|TIP30	HGNC:16637|MIM:605628|Ensembl:ENSG00000109854|HPRD:09288|Vega:OTTHUMG00000166015	11p15.1	HIV-1 Tat interactive protein 2, 30kDa
10562	OLFM4	GC1|GW112|OLM4|OlfD|UNQ362|bA209J19.1|hGC-1|hOLfD	HGNC:17190|MIM:614061|Ensembl:ENSG00000102837|HPRD:06580|Vega:OTTHUMG00000016981	13q14.3	olfactomedin 4
10610	ST6GALNAC2	SAITL1|SIAT7|SIAT7B|SIATL1|ST6GalNAII|STHM	HGNC:10867|MIM:610137|Ensembl:ENSG00000070731|HPRD:10231|Vega:OTTHUMG00000180301	17q25.1	ST6 (alpha-N-acetyl-neuraminyl-2,3-beta-galactosyl-1,3)-N-acetylgalactosaminide alpha-2,6-sialyltransferase 2
10625	IVNS1ABP	FLARA3|HSPC068|KLHL39|ND1|NS-1|NS1-BP|NS1BP	HGNC:16951|MIM:609209|Ensembl:ENSG00000116679|HPRD:10004|Vega:OTTHUMG00000035384	1q25.1-q31.1	influenza virus NS1A binding protein
10628	TXNIP	EST01027|HHCPA78|THIF|VDUP1	HGNC:16952|MIM:606599|Ensembl:ENSG00000117289|HPRD:05964|Vega:OTTHUMG00000013755	1q21.1	thioredoxin interacting protein
10631	POSTN	OSF-2|OSF2|PDLPOSTN|PN|periostin	HGNC:16953|MIM:608777|Ensembl:ENSG00000133110|HPRD:12295|Vega:OTTHUMG00000016751	13q13.3	periostin, osteoblast specific factor
10765	KDM5B	CT31|JARID1B|PLU-1|PLU1|PPP1R98|PUT1|RBBP2H1A	HGNC:18039|MIM:605393|Ensembl:ENSG00000117139|HPRD:09251|Vega:OTTHUMG00000041401	1q32.1	lysine (K)-specific demethylase 5B
11178	LZTS1	F37|FEZ1	HGNC:13861|MIM:606551|Ensembl:ENSG00000061337|HPRD:05945|Vega:OTTHUMG00000097027	8p22	leucine zipper, putative tumor suppressor 1
1191	CLU	APO-J|APOJ|CLI|CLU1|CLU2|KUB1|NA1/NA2|SGP-2|SGP2|SP-40|TRPM-2|TRPM2	HGNC:2095|MIM:185430|Ensembl:ENSG00000120885|HPRD:01706|Vega:OTTHUMG00000102114	8p21-p12	clusterin
1400	CRMP1	CRMP-1|DPYSL1|DRP-1|DRP1|ULIP-3	HGNC:2365|MIM:602462|Ensembl:ENSG00000072832|HPRD:03913|Vega:OTTHUMG00000125489	4p16.1	collapsin response mediator protein 1
1410	CRYAB	CMD1II|CRYA2|CTPP2|CTRCT16|HEL-S-101|HSPB5|MFM2	HGNC:2389|MIM:123590|Ensembl:ENSG00000109846|HPRD:00428|Vega:OTTHUMG00000166885	11q22.3-q23.1	crystallin, alpha B
1474	CST6	-	HGNC:2478|MIM:601891|Ensembl:ENSG00000175315|HPRD:03535|Vega:OTTHUMG00000166750	11q13	cystatin E/M
1525	CXADR	CAR|CAR4/6|HCAR	HGNC:2559|MIM:602621|Ensembl:ENSG00000154639|HPRD:11804|Vega:OTTHUMG00000074508	21q21.1	coxsackie virus and adenovirus receptor
1612	DAPK1	DAPK	HGNC:2674|MIM:600831|Ensembl:ENSG00000196730|HPRD:02902|Vega:OTTHUMG00000020150	9q21.33	death-associated protein kinase 1
1630	DCC	CRC18|CRCR1|IGDCC1|MRMV1|NTN1R1	HGNC:2701|MIM:120470|HPRD:00391	18q21.3	DCC netrin 1 receptor
166	AES	AES-1|AES-2|ESP1|GRG|GRG5|TLE5	HGNC:307|MIM:600188|Ensembl:ENSG00000104964|HPRD:02556|Vega:OTTHUMG00000180567	19p13.3	amino-terminal enhancer of split
1756	DMD	BMD|CMD3B|DXS142|DXS164|DXS206|DXS230|DXS239|DXS268|DXS269|DXS270|DXS272|MRX85	HGNC:2928|MIM:300377|Ensembl:ENSG00000198947|HPRD:02303|Vega:OTTHUMG00000021336	Xp21.2	dystrophin
1805	DPT	TRAMP	HGNC:3011|MIM:125597|Ensembl:ENSG00000143196|HPRD:00510|Vega:OTTHUMG00000034554	1q12-q23	dermatopontin
1809	DPYSL3	CRMP-4|CRMP4|DRP-3|DRP3|LCRMP|ULIP|ULIP-1	HGNC:3015|MIM:601168|Ensembl:ENSG00000113657|HPRD:03104|Vega:OTTHUMG00000163437	5q32	dihydropyrimidinase-like 3
196	AHR	bHLHe76	HGNC:348|MIM:600253|Ensembl:ENSG00000106546|HPRD:02596|Vega:OTTHUMG00000149967	7p15	aryl hydrocarbon receptor
2022	ENG	END|HHT1|ORW1	HGNC:3349|MIM:131195|Ensembl:ENSG00000106991|HPRD:00565|Vega:OTTHUMG00000020723	9q34.11	endoglin
2033	EP300	KAT3B|RSTS2|p300	HGNC:3373|MIM:602700|Ensembl:ENSG00000100393|HPRD:04078|Vega:OTTHUMG00000150937	22q13.2	E1A binding protein p300
2049	EPHB3	ETK2|HEK2|TYRO6	HGNC:3394|MIM:601839|Ensembl:ENSG00000182580|HPRD:03502|Vega:OTTHUMG00000156710	3q27.1	EPH receptor B3
2051	EPHB6	HEP	HGNC:3396|MIM:602757|Ensembl:ENSG00000106123|HPRD:04133|Vega:OTTHUMG00000155707	7q33-q35	EPH receptor B6
2099	ESR1	ER|ESR|ESRA|ESTRR|Era|NR3A1	HGNC:3467|MIM:133430|Ensembl:ENSG00000091831|HPRD:00589|Vega:OTTHUMG00000016103	6q25.1	estrogen receptor 1
2262	GPC5	-	HGNC:4453|MIM:602446|Ensembl:ENSG00000179399|HPRD:03902|Vega:OTTHUMG00000017200	13q32	glypican 5
23076	RRP1B	KIAA0179|NNP1L|Nnp1|PPP1R136|RRP1	HGNC:23818|MIM:610654|Ensembl:ENSG00000160208|HPRD:10009|Vega:OTTHUMG00000086872	21q22.3	ribosomal RNA processing 1B
23136	EPB41L3	4.1B|DAL-1|DAL1	HGNC:3380|MIM:605331|Ensembl:ENSG00000082397|HPRD:05622|Vega:OTTHUMG00000131562	18p11.32	erythrocyte membrane protein band 4.1-like 3
23221	RHOBTB2	DBC2	HGNC:18756|MIM:607352|Ensembl:ENSG00000008853|HPRD:06300|Vega:OTTHUMG00000097827	8p21.3	Rho-related BTB domain containing 2
23405	DICER1	DCR1|Dicer|HERNA|MNG1|RMSE2	HGNC:17098|MIM:606241|Ensembl:ENSG00000100697|HPRD:05875|Vega:OTTHUMG00000166134	14q32.13	dicer 1, ribonuclease type III
23705	CADM1	BL2|IGSF4|IGSF4A|NECL2|Necl-2|RA175|ST17|SYNCAM|TSLC1|sTSLC-1|sgIGSF|synCAM1	HGNC:5951|MIM:605686|Ensembl:ENSG00000182985|HPRD:05746|Vega:OTTHUMG00000168202	11q23.2	cell adhesion molecule 1
25803	SPDEF	PDEF|bA375E1.3	HGNC:17257|MIM:608144|Ensembl:ENSG00000124664|HPRD:12176|Vega:OTTHUMG00000014548	6p21.3	SAM pointed domain containing ETS transcription factor
25855	BRMS1	-	HGNC:17262|MIM:606259|Ensembl:ENSG00000174744|HPRD:05879|Vega:OTTHUMG00000167081	11q13-q13.2	breast cancer metastasis suppressor 1
2619	GAS1	-	HGNC:4165|MIM:139185|Ensembl:ENSG00000180447|HPRD:00747|Vega:OTTHUMG00000020141	9q21.3-q22	growth arrest-specific 1
2625	GATA3	HDR|HDRS	HGNC:4172|MIM:131320|Ensembl:ENSG00000107485|HPRD:00572|Vega:OTTHUMG00000017640	10p15	GATA binding protein 3
26269	FBXO8	FBS|FBX8	HGNC:13587|MIM:605649|Ensembl:ENSG00000164117|HPRD:07293|Vega:OTTHUMG00000160746	4q34.1	F-box protein 8
27085	MTBP	MDM2BP	HGNC:7417|MIM:605927|Ensembl:ENSG00000172167|HPRD:12068|Vega:OTTHUMG00000165040	8q24.12	MDM2 binding protein
2719	GPC3	DGSX|GTR2-2|MXR7|OCI-5|SDYS|SGB|SGBS|SGBS1	HGNC:4451|MIM:300037|Ensembl:ENSG00000147257|HPRD:02074|Vega:OTTHUMG00000022448	Xq26.1	glypican 3
27250	PDCD4	H731	HGNC:8763|MIM:608610|Ensembl:ENSG00000150593|HPRD:10549|Vega:OTTHUMG00000019048	10q24	programmed cell death 4 (neoplastic transformation inhibitor)
274	BIN1	AMPH2|AMPHL|SH3P9	HGNC:1052|MIM:601248|Ensembl:ENSG00000136717|HPRD:03150|Vega:OTTHUMG00000131465	2q14	bridging integrator 1
2771	GNAI2	GIP|GNAI2B|H_LUCA15.1|H_LUCA16.1	HGNC:4385|MIM:139360|Ensembl:ENSG00000114353|HPRD:00764|Vega:OTTHUMG00000156940	3p21.31	guanine nucleotide binding protein (G protein), alpha inhibiting activity polypeptide 2
2934	GSN	ADF|AGEL	HGNC:4620|MIM:137350|Ensembl:ENSG00000148180|HPRD:00674|Vega:OTTHUMG00000020584	9q33	gelsolin
29956	CERS2	L3|LASS2|SP260|TMSG1	HGNC:14076|MIM:606920|Ensembl:ENSG00000143418|HPRD:06080|Vega:OTTHUMG00000035064	1q21.3	ceramide synthase 2
3082	HGF	DFNB39|F-TCF|HGFB|HPTA|SF	HGNC:4893|MIM:142409|Ensembl:ENSG00000019991|HPRD:00799|Vega:OTTHUMG00000023804	7q21.1	hepatocyte growth factor (hepapoietin A; scatter factor)
3206	HOXA10	HOX1|HOX1.8|HOX1H|PL	HGNC:5100|MIM:142957|Ensembl:ENSG00000253293|HPRD:00845|Vega:OTTHUMG00000023436	7p15.2	homeobox A10
326624	RAB37	-	HGNC:30268|MIM:609956|Ensembl:ENSG00000172794|HPRD:06702|Vega:OTTHUMG00000134282	17q25.1	RAB37, member RAS oncogene family
3384	ICAM2	CD102	HGNC:5345|MIM:146630|Ensembl:ENSG00000108622|HPRD:00888|Vega:OTTHUMG00000178865	17q23.3	intercellular adhesion molecule 2
3394	IRF8	H-ICSBP|ICSBP|ICSBP1|IRF-8	HGNC:5358|MIM:601565|Ensembl:ENSG00000140968|HPRD:03336|Vega:OTTHUMG00000137648	16q24.1	interferon regulatory factor 8
