cog_id,root,clade_name,string_id
NOG90881,4,Ponginae,ENSP00000424501
NOG274838,7,Platyrrhini,ENSP00000356030
NOG271421,10,Dermoptera,ENSP00000228463
NOG130587,14,Afrotheria,ENSP00000235933
NOG59284,14,Afrotheria,ENSP00000215637
NOG33216,14,Afrotheria,ENSP00000333919
NOG58109,14,Afrotheria,ENSP00000369554
NOG135432,14,Afrotheria,ENSP00000226730
NOG49907,14,Afrotheria,ENSP00000357153
NOG269374,14,Afrotheria,ENSP00000345972
NOG257694,14,Afrotheria,ENSP00000313875
NOG270091,14,Afrotheria,ENSP00000347948
NOG135487,14,Afrotheria,ENSP00000483985
NOG253636,15,Metatheria,ENSP00000264497
NOG83179,15,Metatheria,ENSP00000362108
NOG250334,15,Metatheria,ENSP00000301272
NOG59058,15,Metatheria,ENSP00000419085
NOG31188,15,Metatheria,ENSP00000349204
NOG253091,15,Metatheria,ENSP00000335074
NOG05828,15,Metatheria,ENSP00000299106
NOG34464,15,Metatheria,ENSP00000361599
NOG56065,16,Prototheria,ENSP00000406970
NOG255980,16,Prototheria,ENSP00000479536
NOG58030,16,Prototheria,ENSP00000364210
NOG57931,16,Prototheria,ENSP00000365465
NOG244842,17,Sauropsida,ENSP00000280357
NOG16609,17,Sauropsida,ENSP00000355361
NOG55152,17,Sauropsida,ENSP00000006053
NOG09769,17,Sauropsida,ENSP00000283285
NOG231450,17,Sauropsida,ENSP00000228534
NOG23480,17,Sauropsida,ENSP00000470788
NOG246954,17,Sauropsida,ENSP00000335062
NOG58417,17,Sauropsida,ENSP00000369581
NOG271637,17,Sauropsida,ENSP00000357722
NOG271637,17,Sauropsida,ENSP00000357727
NOG30968,17,Sauropsida,ENSP00000356792
NOG66960,17,Sauropsida,ENSP00000354416
NOG33393,17,Sauropsida,ENSP00000303231
NOG28166,17,Sauropsida,ENSP00000264246
NOG23429,17,Sauropsida,ENSP00000367817
NOG03138,17,Sauropsida,ENSP00000294489
NOG15898,18,Amphibia,ENSP00000315997
NOG15898,18,Amphibia,ENSP00000375616
NOG15898,18,Amphibia,ENSP00000375629
NOG15898,18,Amphibia,ENSP00000439454
NOG61523,18,Amphibia,ENSP00000329991
NOG245543,18,Amphibia,ENSP00000398890
NOG259342,18,Amphibia,ENSP00000343129
NOG43638,18,Amphibia,ENSP00000356162
NOG18085,19,Coelacanthimorpha,ENSP00000231228
NOG240695,19,Coelacanthimorpha,ENSP00000385675
NOG24221,19,Coelacanthimorpha,ENSP00000312021
NOG258877,19,Coelacanthimorpha,ENSP00000378431
NOG269868,19,Coelacanthimorpha,ENSP00000411788
NOG28618,19,Coelacanthimorpha,ENSP00000312652
NOG26156,20,Actinopterygii,ENSP00000312002
NOG29623,20,Actinopterygii,ENSP00000457421
NOG269657,20,Actinopterygii,ENSP00000331746
NOG26904,20,Actinopterygii,ENSP00000398698
NOG04826,20,Actinopterygii,ENSP00000384273
NOG08294,20,Actinopterygii,ENSP00000367433
NOG03742,20,Actinopterygii,ENSP00000236850
NOG03742,20,Actinopterygii,ENSP00000350425
NOG256826,20,Actinopterygii,ENSP00000256178
NOG256826,20,Actinopterygii,ENSP00000398632
NOG06777,20,Actinopterygii,ENSP00000353462
NOG07616,20,Actinopterygii,ENSP00000371420
NOG11571,20,Actinopterygii,ENSP00000221132
NOG11571,20,Actinopterygii,ENSP00000276431
NOG22019,20,Actinopterygii,ENSP00000361818
NOG01354,20,Actinopterygii,ENSP00000434045
NOG05346,20,Actinopterygii,ENSP00000299952
NOG18285,20,Actinopterygii,ENSP00000160262
NOG18285,20,Actinopterygii,ENSP00000221980
NOG18285,20,Actinopterygii,ENSP00000264832
NOG18285,20,Actinopterygii,ENSP00000342114
NOG18285,20,Actinopterygii,ENSP00000415283
NOG29134,20,Actinopterygii,ENSP00000253796
NOG21071,20,Actinopterygii,ENSP00000284240
NOG10515,20,Actinopterygii,ENSP00000329797
NOG30694,20,Actinopterygii,ENSP00000271638
NOG30694,20,Actinopterygii,ENSP00000357801
NOG19558,20,Actinopterygii,ENSP00000352540
NOG10229,20,Actinopterygii,ENSP00000420091
NOG15005,20,Actinopterygii,ENSP00000378786
NOG15005,20,Actinopterygii,ENSP00000393566
NOG31937,20,Actinopterygii,ENSP00000353259
NOG01189,20,Actinopterygii,ENSP00000263409
NOG230762,20,Actinopterygii,ENSP00000347379
NOG259005,20,Actinopterygii,ENSP00000323280
NOG22864,20,Actinopterygii,ENSP00000232003
NOG02920,20,Actinopterygii,ENSP00000262345
NOG33424,20,Actinopterygii,ENSP00000354566
NOG266535,20,Actinopterygii,ENSP00000365817
NOG266535,20,Actinopterygii,ENSP00000379873
NOG266535,20,Actinopterygii,ENSP00000412927
NOG02018,20,Actinopterygii,ENSP00000335320
NOG11833,20,Actinopterygii,ENSP00000384537
NOG06313,20,Actinopterygii,ENSP00000269394
NOG03983,20,Actinopterygii,ENSP00000271417
NOG270127,20,Actinopterygii,ENSP00000461433
NOG22308,20,Actinopterygii,ENSP00000370989
NOG22308,20,Actinopterygii,ENSP00000380855
NOG14493,20,Actinopterygii,ENSP00000199764
NOG270365,20,Actinopterygii,ENSP00000247470
NOG16413,20,Actinopterygii,ENSP00000391490
NOG09317,20,Actinopterygii,ENSP00000378409
NOG08512,20,Actinopterygii,ENSP00000263735
NOG10082,20,Actinopterygii,ENSP00000364683
NOG00771,20,Actinopterygii,ENSP00000315130
NOG07053,20,Actinopterygii,ENSP00000373487
NOG25139,20,Actinopterygii,ENSP00000320084
NOG25139,20,Actinopterygii,ENSP00000350402
NOG25139,20,Actinopterygii,ENSP00000358470
NOG15725,20,Actinopterygii,ENSP00000353099
NOG15725,20,Actinopterygii,ENSP00000408146
NOG11150,20,Actinopterygii,ENSP00000295522
NOG10006,20,Actinopterygii,ENSP00000357005
NOG10139,20,Actinopterygii,ENSP00000258613
NOG240233,20,Actinopterygii,ENSP00000379140
NOG258565,20,Actinopterygii,ENSP00000294728
NOG258221,20,Actinopterygii,ENSP00000359521
NOG232117,20,Actinopterygii,ENSP00000338345
NOG18533,20,Actinopterygii,ENSP00000303939
NOG18533,20,Actinopterygii,ENSP00000324890
NOG09814,20,Actinopterygii,ENSP00000172229
NOG248765,20,Actinopterygii,ENSP00000321345
NOG10255,20,Actinopterygii,ENSP00000383376
NOG02267,20,Actinopterygii,ENSP00000296677
NOG23311,20,Actinopterygii,ENSP00000203629
NOG07743,20,Actinopterygii,ENSP00000254528
NOG07743,20,Actinopterygii,ENSP00000369677
NOG21851,20,Actinopterygii,ENSP00000252590
NOG258799,20,Actinopterygii,ENSP00000345359
NOG271296,20,Actinopterygii,ENSP00000259607
NOG271296,20,Actinopterygii,ENSP00000375086
NOG271296,20,Actinopterygii,ENSP00000474412
NOG05335,20,Actinopterygii,ENSP00000366288
NOG23958,20,Actinopterygii,ENSP00000330382
NOG11666,20,Actinopterygii,ENSP00000302665
NOG11666,20,Actinopterygii,ENSP00000391826
NOG09326,20,Actinopterygii,ENSP00000370473
NOG63872,20,Actinopterygii,ENSP00000259206
NOG63872,20,Actinopterygii,ENSP00000263341
NOG22087,20,Actinopterygii,ENSP00000368664
NOG272242,20,Actinopterygii,ENSP00000311313
NOG272242,20,Actinopterygii,ENSP00000381448
NOG258820,20,Actinopterygii,ENSP00000321326
NOG18232,20,Actinopterygii,ENSP00000362299
NOG03043,20,Actinopterygii,ENSP00000262753
NOG02504,20,Actinopterygii,ENSP00000362095
NOG277541,20,Actinopterygii,ENSP00000348635
NOG22260,20,Actinopterygii,ENSP00000305529
NOG22260,20,Actinopterygii,ENSP00000382941
NOG24490,20,Actinopterygii,ENSP00000339328
NOG15115,20,Actinopterygii,ENSP00000357470
