node,cog_id,root,clade_name,queryItem,cellular extravasation,cell junction organization,cell adhesion,extracellular matrix organization,epithelial to mesenchymal transition,regulation of metallopeptidase activity,metastasis related,count
ENSP00000005260,KOG2642,32,Amoebozoa,BAIAP2L1,0,0,1,0,0,0,0,19
ENSP00000006053,KOG3544,32,Amoebozoa,CX3CL1,0,0,1,0,0,0,0,8
ENSP00000020945,KOG2462,27,Placozoa,SNAI2,0,1,0,0,0,0,0,5
ENSP00000064724,NOG010460,20,Actinopterygii,CLDN11,0,1,0,0,0,0,1,7
ENSP00000070846,KOG1048,29,Ctenophora,PKP2,0,1,1,0,0,0,0,5
ENSP00000188790,KOG2100,32,Amoebozoa,FAP,0,0,0,1,0,0,1,3
ENSP00000199764,COG0666,32,Amoebozoa,CEACAM6,0,0,1,0,0,0,1,7
ENSP00000200181,KOG1226,32,Amoebozoa,ITGB4,0,1,1,0,0,0,1,52
ENSP00000211998,KOG3681,30,Choanoflagellata,VCL,0,1,1,0,0,0,0,27
ENSP00000212355,NOG008962,32,Amoebozoa,TGFBR3,0,0,0,1,0,0,1,3
ENSP00000215637,NOG007117,1,Homo,MADCAM1,1,0,1,0,0,0,0,3
ENSP00000215886,KOG3587,25,Spiralia,LGALS2,0,0,1,0,0,0,1,2
ENSP00000215909,KOG3587,25,Spiralia,LGALS1,0,0,1,0,0,0,1,8
ENSP00000216037,KOG4005,28,Porifera,XBP1,0,0,1,0,0,0,0,1
ENSP00000216241,COG1552,32,Amoebozoa,CHADL,0,0,0,1,0,0,0,1
ENSP00000216336,COG5640,32,Amoebozoa,CTSG,0,0,1,0,0,0,0,12
ENSP00000218388,KOG4745,27,Placozoa,TIMP1,0,0,0,0,0,1,1,11
ENSP00000219022,KOG3545,29,Ctenophora,OLFM4,0,0,1,0,0,0,0,1
ENSP00000220772,KOG3577,28,Porifera,SFRP1,0,0,0,0,1,0,1,5
ENSP00000221930,KOG3900,28,Porifera,TGFB1,0,0,1,1,1,0,1,31
ENSP00000221992,NOG008990,31,Fungi,CEACAM5,0,0,1,0,0,0,1,7
ENSP00000222399,KOG0994,32,Amoebozoa,LAMB1,0,0,1,0,0,0,0,34
ENSP00000222573,KOG1226,32,Amoebozoa,ITGB8,0,0,1,0,0,0,1,50
ENSP00000223095,COG4826,27,Placozoa,SERPINE1,0,0,1,0,0,0,1,8
ENSP00000225698,KOG4024,27,Placozoa,C1QBP,0,0,1,0,0,0,1,6
ENSP00000225964,KOG3544,32,Amoebozoa,COL1A1,0,0,0,1,1,0,1,38
ENSP00000226004,COG2453,32,Amoebozoa,DUSP3,0,1,1,0,0,0,0,2
ENSP00000226218,KOG1565,32,Amoebozoa,VTN,0,0,1,0,0,0,0,33
ENSP00000226730,COG0524,32,Amoebozoa,IL2,0,0,1,0,0,0,1,16
ENSP00000228463,NOG008962,32,Amoebozoa,SELPLG,1,0,1,0,0,0,1,6
ENSP00000228534,NOG006905,15,Metatheria,IL23A,0,0,1,0,0,0,1,11
ENSP00000229135,NOG007280,17,Sauropsida,IFNG,0,0,1,0,0,0,1,8
ENSP00000231228,NOG007814,13,Laurasiatheria,IL12B,0,0,1,0,0,0,0,15
ENSP00000231449,KOG3886,31,Fungi,IL4,0,0,1,0,0,0,1,21
ENSP00000232003,NOG008962,32,Amoebozoa,HRG,0,1,1,0,0,0,1,5
ENSP00000233154,KOG4226,29,Ctenophora,NCK2,0,0,1,0,0,0,0,25
ENSP00000233809,NOG009932,23,Ambulacraria,IGFBP2,0,0,1,0,0,0,1,2
ENSP00000233997,COG5640,32,Amoebozoa,AZU1,1,0,0,0,0,0,0,4
ENSP00000234347,COG5640,32,Amoebozoa,PRTN3,1,1,0,0,0,0,0,4
ENSP00000235310,KOG3186,32,Amoebozoa,MAD2L2,0,0,1,0,1,0,0,3
ENSP00000236850,NOG008684,1,Homo,APOA1,0,0,1,0,0,0,0,13
ENSP00000238682,KOG3900,28,Porifera,TGFB3,0,0,0,0,1,0,0,13
ENSP00000239462,KOG1225,29,Ctenophora,TNN,0,0,1,0,0,0,1,29
ENSP00000242261,KOG4447,26,Cnidaria,TWIST1,0,0,0,0,1,0,1,5
ENSP00000244050,KOG2462,27,Placozoa,SNAI1,0,1,0,0,1,0,1,8
ENSP00000244336,COG0666,32,Amoebozoa,CEACAM8,0,0,1,0,0,0,0,8
ENSP00000245451,KOG3900,28,Porifera,BMP4,0,0,1,0,0,0,1,7
ENSP00000246792,COG1100,32,Amoebozoa,RRAS,0,0,1,0,0,0,0,15
ENSP00000247470,KOG2177,32,Amoebozoa,PYCARD,0,0,1,0,0,0,0,6
ENSP00000249014,NOG008204,14,Afrotheria,CDC42EP1,0,0,1,0,0,0,0,19
