string_id,cog_id
ENSP00000002829,KOG3611
ENSP00000005260,NOG06845
ENSP00000006053,NOG55152
ENSP00000007722,KOG3637
ENSP00000037502,KOG3545
ENSP00000064724,NOG03800
ENSP00000070846,KOG1048
ENSP00000160262,NOG18285
ENSP00000166139,KOG3649
ENSP00000171887,COG2453
ENSP00000172229,NOG09814
ENSP00000188790,COG1506
ENSP00000199764,NOG14493
ENSP00000200181,KOG1226
ENSP00000203629,NOG23311
ENSP00000211998,KOG3681
ENSP00000212355,NOG09784
ENSP00000215637,NOG59284
ENSP00000215909,KOG3587
ENSP00000216037,KOG4005
ENSP00000216241,COG4886
ENSP00000216271,COG0123
ENSP00000216336,COG5640
ENSP00000218388,KOG4745
ENSP00000219022,KOG3545
ENSP00000219302,COG0105
ENSP00000220772,KOG3577
ENSP00000221132,NOG11571
ENSP00000221561,KOG0639
ENSP00000221930,KOG3900
ENSP00000221980,NOG18285
ENSP00000222390,COG5640
ENSP00000222399,KOG0994
ENSP00000222543,KOG4295
ENSP00000222573,KOG1226
ENSP00000223095,COG4826
ENSP00000223357,KOG2649
ENSP00000225276,KOG2692
ENSP00000225655,KOG1755
ENSP00000225698,KOG4024
ENSP00000225964,KOG3544
ENSP00000226004,COG2453
ENSP00000226218,KOG1565
ENSP00000226730,NOG135432
ENSP00000227155,KOG3882
ENSP00000228434,KOG4297
ENSP00000228463,NOG271421
ENSP00000228534,NOG231450
ENSP00000228945,KOG3205
ENSP00000229583,KOG3989
ENSP00000231228,NOG18085
ENSP00000231449,KOG3886
ENSP00000232003,NOG22864
ENSP00000233154,KOG4226
ENSP00000233809,NOG09907
ENSP00000233997,COG5640
ENSP00000234347,COG5640
ENSP00000235310,KOG3186
ENSP00000235933,NOG130587
ENSP00000236147,KOG4297
ENSP00000236826,KOG1565
ENSP00000236850,NOG03742
ENSP00000238682,KOG3900
ENSP00000241261,NOG00756
ENSP00000242057,KOG3560
ENSP00000242159,KOG0489
ENSP00000242261,KOG4447
ENSP00000242728,KOG4304
ENSP00000243077,KOG1215
ENSP00000244050,KOG2462
ENSP00000245304,COG1100
ENSP00000245323,KOG3858
ENSP00000245451,KOG3900
ENSP00000246792,COG1100
ENSP00000247470,NOG270365
ENSP00000249014,NOG17118
ENSP00000249071,COG1100
ENSP00000250378,COG5640
ENSP00000250448,COG5025
ENSP00000250559,COG1100
ENSP00000251808,KOG4091
ENSP00000252590,NOG21851
ENSP00000252599,KOG4179
ENSP00000252699,COG5069
ENSP00000252804,KOG2408
ENSP00000252999,KOG1836
ENSP00000253796,NOG29134
ENSP00000254066,KOG3575
ENSP00000254301,KOG3587
ENSP00000254528,NOG07743
ENSP00000254722,COG4826
ENSP00000254958,KOG1217
ENSP00000255006,KOG2320
ENSP00000255688,NOG19818
ENSP00000256178,NOG256826
ENSP00000256433,KOG4779
ENSP00000257189,KOG3594
ENSP00000257527,KOG3607
ENSP00000257770,COG0737
ENSP00000257979,COG0580
ENSP00000258341,KOG1836
ENSP00000258613,NOG10139
ENSP00000259206,NOG63872
ENSP00000259371,KOG3508
ENSP00000259526,NOG239425
ENSP00000259607,NOG271296
ENSP00000260130,KOG0849
