cog_id,root,clade_name,string_id,queryItem,rooted_group
NOG83179,15,Metatheria,ENSP00000362108,LCN2,Vertebrates
NOG43638,18,Amphibia,ENSP00000356162,KISS1,Vertebrates
NOG256826,20,Actinopterygii,ENSP00000398632,CD44,Vertebrates
NOG11571,20,Actinopterygii,ENSP00000221132,TNFRSF10A,Vertebrates
NOG11571,20,Actinopterygii,ENSP00000276431,TNFRSF10B,Vertebrates
NOG01354,20,Actinopterygii,ENSP00000434045,GPR68,Vertebrates
NOG18285,20,Actinopterygii,ENSP00000415283,ICAM2,Vertebrates
NOG10515,20,Actinopterygii,ENSP00000329797,CADM1,Vertebrates
NOG01189,20,Actinopterygii,ENSP00000263409,LIFR,Vertebrates
NOG11833,20,Actinopterygii,ENSP00000384537,AKAP12,Vertebrates
NOG00771,20,Actinopterygii,ENSP00000315130,CLU,Vertebrates
NOG11150,20,Actinopterygii,ENSP00000295522,CLDN1,Vertebrates
NOG09814,20,Actinopterygii,ENSP00000172229,NGFR,Vertebrates
NOG09326,20,Actinopterygii,ENSP00000370473,IGFBP3,Vertebrates
NOG272242,20,Actinopterygii,ENSP00000311313,CST6,Vertebrates
NOG18232,20,Actinopterygii,ENSP00000362299,ENG,Vertebrates
NOG258523,21,Tunicata,ENSP00000298743,GAS1,Multicellular non-vertebrate
NOG05020,22,Cephalochordata,ENSP00000268638,IRF8,Multicellular non-vertebrate
NOG11949,22,Cephalochordata,ENSP00000360472,LGI1,Multicellular non-vertebrate
NOG03235,22,Cephalochordata,ENSP00000284878,CXADR,Multicellular non-vertebrate
NOG13312,22,Cephalochordata,ENSP00000356791,DPT,Multicellular non-vertebrate
NOG12100,23,Ambulacraria,ENSP00000303398,MTBP,Multicellular non-vertebrate
NOG00756,23,Ambulacraria,ENSP00000241261,TNFSF10,Multicellular non-vertebrate
NOG19818,23,Ambulacraria,ENSP00000255688,RARRES3,Multicellular non-vertebrate
NOG255743,23,Ambulacraria,ENSP00000370981,LZTS1,Multicellular non-vertebrate
COG4409,23,Ambulacraria,ENSP00000364782,NEU1,Multicellular non-vertebrate
KOG3545,24,Ecdysozoa,ENSP00000219022,OLFM4,Multicellular non-vertebrate
KOG4788,24,Ecdysozoa,ENSP00000310880,MAL,Multicellular non-vertebrate
KOG2692,24,Ecdysozoa,ENSP00000225276,ST6GALNAC2,Multicellular non-vertebrate
NOG06917,24,Ecdysozoa,ENSP00000304895,IRS1,Multicellular non-vertebrate
KOG0487,25,Spiralia,ENSP00000283921,HOXA10,Multicellular non-vertebrate
NOG239366,25,Spiralia,ENSP00000367227,TMEM8B,Multicellular non-vertebrate
NOG239425,25,Spiralia,ENSP00000398736,CYR61,Multicellular non-vertebrate
NOG02565,25,Spiralia,ENSP00000322804,MTSS1,Multicellular non-vertebrate
KOG4004,26,Cnidaria,ENSP00000414856,SPARCL1,Multicellular non-vertebrate
KOG3805,26,Cnidaria,ENSP00000363149,SPDEF,Multicellular non-vertebrate
KOG3591,26,Cnidaria,ENSP00000433560,CRYAB,Multicellular non-vertebrate
KOG4447,26,Cnidaria,ENSP00000242261,TWIST1,Multicellular non-vertebrate
NOG09140,26,Cnidaria,ENSP00000340494,ZNF395,Multicellular non-vertebrate
KOG3587,27,Placozoa,ENSP00000378856,LGALS9,Multicellular non-vertebrate
NOG05235,28,Porifera,ENSP00000367797,SKI,Multicellular non-vertebrate
KOG3560,28,Porifera,ENSP00000242057,AHR,Multicellular non-vertebrate
KOG4745,28,Porifera,ENSP00000218388,TIMP1,Multicellular non-vertebrate
KOG4745,28,Porifera,ENSP00000262768,TIMP2,Multicellular non-vertebrate
KOG4745,28,Porifera,ENSP00000266085,TIMP3,Multicellular non-vertebrate
KOG4745,28,Porifera,ENSP00000287814,TIMP4,Multicellular non-vertebrate
NOG236267,28,Porifera,ENSP00000264731,TP63,Multicellular non-vertebrate
COG4826,28,Porifera,ENSP00000254722,SERPINF1,Multicellular non-vertebrate
COG4826,28,Porifera,ENSP00000372221,SERPINB5,Multicellular non-vertebrate
KOG3821,29,Ctenophora,ENSP00000366267,GPC5,Multicellular non-vertebrate
KOG3821,29,Ctenophora,ENSP00000377836,GPC3,Multicellular non-vertebrate
KOG3577,29,Ctenophora,ENSP00000220772,SFRP1,Multicellular non-vertebrate
KOG4304,29,Ctenophora,ENSP00000242728,BHLHE41,Multicellular non-vertebrate
KOG3573,29,Ctenophora,ENSP00000311032,CASP3,Multicellular non-vertebrate
KOG3573,29,Ctenophora,ENSP00000351273,CASP8,Multicellular non-vertebrate
KOG3573,29,Ctenophora,ENSP00000376849,CASP5,Multicellular non-vertebrate
KOG4087,29,Ctenophora,ENSP00000383364,PLA2G2A,Multicellular non-vertebrate
KOG1280,29,Ctenophora,ENSP00000386738,KCMF1,Multicellular non-vertebrate
KOG4221,29,Ctenophora,ENSP00000389140,DCC,Multicellular non-vertebrate
KOG0489,29,Ctenophora,ENSP00000346879,NKX2-1,Multicellular non-vertebrate
KOG3900,29,Ctenophora,ENSP00000221930,TGFB1,Multicellular non-vertebrate
KOG3900,29,Ctenophora,ENSP00000245451,BMP4,Multicellular non-vertebrate
KOG3701,29,Ctenophora,ENSP00000341551,SMAD4,Multicellular non-vertebrate
KOG0639,29,Ctenophora,ENSP00000221561,AES,Multicellular non-vertebrate
NOG258312,29,Ctenophora,ENSP00000260356,THBS1,Multicellular non-vertebrate
KOG3575,29,Ctenophora,ENSP00000379904,THRB,Multicellular non-vertebrate
KOG3575,29,Ctenophora,ENSP00000405330,ESR1,Multicellular non-vertebrate
KOG4466,29,Ctenophora,ENSP00000396052,BRMS1,Multicellular non-vertebrate
KOG0083,29,Ctenophora,ENSP00000376390,RAB37,Multicellular non-vertebrate
KOG3530,30,Choanoflagellata,ENSP00000343158,EPB41L3,Multicellular non-vertebrate
KOG1006,30,Choanoflagellata,ENSP00000410402,MAP2K4,Multicellular non-vertebrate
KOG3611,30,Choanoflagellata,ENSP00000002829,SEMA3F,Multicellular non-vertebrate
KOG3882,30,Choanoflagellata,ENSP00000227155,CD82,Multicellular non-vertebrate
KOG3882,30,Choanoflagellata,ENSP00000371958,CD9,Multicellular non-vertebrate
KOG3882,30,Choanoflagellata,ENSP00000447730,CD63,Multicellular non-vertebrate
KOG0709,30,Choanoflagellata,ENSP00000481956,CREB3L1,Multicellular non-vertebrate
KOG2200,30,Choanoflagellata,ENSP00000276297,DLC1,Multicellular non-vertebrate
KOG1226,30,Choanoflagellata,ENSP00000379350,ITGB1,Multicellular non-vertebrate
KOG3614,30,Choanoflagellata,ENSP00000437849,TRPM1,Multicellular non-vertebrate
KOG1883,30,Choanoflagellata,ENSP00000357047,MED23,Multicellular non-vertebrate
KOG3656,30,Choanoflagellata,ENSP00000292513,PTGER1,Multicellular non-vertebrate
KOG3656,30,Choanoflagellata,ENSP00000349003,PTGER3,Multicellular non-vertebrate
KOG3656,30,Choanoflagellata,ENSP00000359532,NTSR1,Multicellular non-vertebrate
KOG3637,30,Choanoflagellata,ENSP00000296585,ITGA2,Multicellular non-vertebrate
KOG3982,30,Choanoflagellata,ENSP00000382800,RUNX3,Multicellular non-vertebrate
KOG3649,30,Choanoflagellata,ENSP00000367202,RECK,Multicellular non-vertebrate
KOG3599,30,Choanoflagellata,ENSP00000262304,PKD1,Multicellular non-vertebrate
KOG1565,30,Choanoflagellata,ENSP00000236826,MMP8,Multicellular non-vertebrate
KOG0403,30,Choanoflagellata,ENSP00000280154,PDCD4,Multicellular non-vertebrate
KOG3594,30,Choanoflagellata,ENSP00000261769,CDH1,Multicellular non-vertebrate
KOG2931,30,Choanoflagellata,ENSP00000404854,NDRG1,Multicellular non-vertebrate
KOG2931,30,Choanoflagellata,ENSP00000451712,NDRG2,Multicellular non-vertebrate
KOG4295,30,Choanoflagellata,ENSP00000222543,TFPI2,Multicellular non-vertebrate
KOG4295,30,Choanoflagellata,ENSP00000284981,APP,Multicellular non-vertebrate
COG5640,30,Choanoflagellata,ENSP00000222390,HGF,Multicellular non-vertebrate
COG5640,30,Choanoflagellata,ENSP00000308938,PLG,Multicellular non-vertebrate
KOG3697,30,Choanoflagellata,ENSP00000401303,SHC1,Multicellular non-vertebrate
KOG0527,31,Fungi,ENSP00000322568,SOX11,Unicellular
KOG0849,31,Fungi,ENSP00000350844,PAX5,Unicellular
