cog_id,root,clade_name,string_id,queryItem,cellular extravasation,cell junction organization,cell adhesion,extracellular matrix organization,epithelial to mesenchymal transition,regulation of metallopeptidase activity,metastasis suppressor,bp_count
NOG90881,4,Ponginae,ENSP00000424501,HTN1,0,0,1,0,0,0,0,1
NOG274838,7,Platyrrhini,ENSP00000356030,CD55,0,0,1,0,0,0,0,1
NOG269374,14,Afrotheria,ENSP00000345972,FYB2,0,0,1,0,0,0,0,1
NOG33216,14,Afrotheria,ENSP00000333919,BTLA,0,0,1,0,0,0,0,1
NOG135432,14,Afrotheria,ENSP00000226730,IL2,0,0,1,0,0,0,0,1
NOG58109,14,Afrotheria,ENSP00000369554,IFNA2,0,0,1,0,0,0,0,1
NOG49907,14,Afrotheria,ENSP00000357153,CD1D,0,0,1,0,0,0,0,1
NOG257694,14,Afrotheria,ENSP00000313875,CD46,0,0,1,0,0,0,0,1
NOG130587,14,Afrotheria,ENSP00000235933,CD160,0,0,1,0,0,0,0,1
NOG135487,14,Afrotheria,ENSP00000483985,CD24,0,0,1,0,0,0,0,1
NOG270091,14,Afrotheria,ENSP00000347948,TNFRSF14,0,0,1,0,0,0,0,1
NOG59058,15,Metatheria,ENSP00000419085,TIGIT,0,0,1,0,0,0,0,1
NOG253636,15,Metatheria,ENSP00000264497,IL21,0,0,1,0,0,0,0,1
NOG250334,15,Metatheria,ENSP00000301272,TMIGD2,0,0,1,0,0,0,0,1
NOG253091,15,Metatheria,ENSP00000335074,GHRL,0,1,0,0,0,0,0,1
NOG31188,15,Metatheria,ENSP00000349204,CRB3,0,1,0,0,0,0,0,1
NOG34464,15,Metatheria,ENSP00000361599,SVBP,0,0,0,0,0,1,0,1
NOG57931,16,Prototheria,ENSP00000365465,CDSN,0,0,1,0,0,0,0,1
NOG56065,16,Prototheria,ENSP00000406970,LAX1,0,0,1,0,0,0,0,1
NOG30968,17,Sauropsida,ENSP00000356792,XCL1,0,0,1,0,0,0,0,1
NOG55152,17,Sauropsida,ENSP00000006053,CX3CL1,0,0,1,0,0,0,0,1
NOG244842,17,Sauropsida,ENSP00000280357,IL18,0,0,1,0,0,0,0,1
NOG33393,17,Sauropsida,ENSP00000303231,IL12A,0,0,1,0,0,0,0,1
